fragment_id,node_id,fragment_weight
decade_1890s,node_9,29
decade_1900s,node_9,109
decade_1910s,node_9,336
decade_1920s,node_9,170
decade_1930s,node_9,148
decade_1940s,node_9,152
decade_1950s,node_9,811
decade_1960s,node_9,1596
decade_1970s,node_9,1968
decade_1980s,node_9,2239
decade_1990s,node_9,3629
decade_2000s,node_9,7570
decade_2010s,node_9,17732
decade_2020s,node_9,13356
decade_UNKNOWN,node_9,6496
primary_genre_Action,node_8,2364
primary_genre_Adult,node_8,1884
primary_genre_Adventure,node_8,1288
primary_genre_Animation,node_8,1766
primary_genre_Biography,node_8,582
primary_genre_Comedy,node_8,9120
primary_genre_Crime,node_8,1672
primary_genre_Documentary,node_8,4714
primary_genre_Drama,node_8,11597
primary_genre_Family,node_8,1631
primary_genre_Fantasy,node_8,322
primary_genre_Game-Show,node_8,1472
primary_genre_History,node_8,203
primary_genre_Horror,node_8,532
primary_genre_Music,node_8,1018
primary_genre_Musical,node_8,122
primary_genre_Mystery,node_8,154
primary_genre_News,node_8,4896
primary_genre_Reality-TV,node_8,1917
primary_genre_Romance,node_8,625
primary_genre_Sci-Fi,node_8,218
primary_genre_Short,node_8,1296
primary_genre_Sport,node_8,930
primary_genre_Talk-Show,node_8,3467
primary_genre_Thriller,node_8,191
primary_genre_UNKNOWN,node_8,2305
primary_genre_War,node_8,15
primary_genre_Western,node_8,40
title_type_movie,node_7,3242
title_type_short,node_7,5171
title_type_tvEpisode,node_7,43476
title_type_tvMiniSeries,node_7,324
title_type_tvMovie,node_7,733
title_type_tvSeries,node_7,1371
title_type_tvShort,node_7,45
title_type_tvSpecial,node_7,253
title_type_video,node_7,1499
title_type_videoGame,node_7,227
