fragment_id,node_id,fragment_weight
decade_1890s,node_2,29
decade_1900s,node_2,109
decade_1910s,node_2,336
decade_1920s,node_2,170
decade_1930s,node_2,148
decade_1940s,node_2,152
decade_1950s,node_2,811
decade_1960s,node_2,1596
decade_1970s,node_2,1968
decade_1980s,node_2,2239
decade_1990s,node_2,3629
decade_2000s,node_2,7570
decade_2010s,node_2,17732
decade_2020s,node_2,13356
decade_UNKNOWN,node_2,6496
primary_genre_Action,node_1,2364
primary_genre_Adult,node_1,1884
primary_genre_Adventure,node_1,1288
primary_genre_Animation,node_1,1766
primary_genre_Biography,node_1,582
primary_genre_Comedy,node_1,9120
primary_genre_Crime,node_1,1672
primary_genre_Documentary,node_1,4714
primary_genre_Drama,node_1,11597
primary_genre_Family,node_1,1631
primary_genre_Fantasy,node_1,322
primary_genre_Game-Show,node_1,1472
primary_genre_History,node_1,203
primary_genre_Horror,node_1,532
primary_genre_Music,node_1,1018
primary_genre_Musical,node_1,122
primary_genre_Mystery,node_1,154
primary_genre_News,node_1,4896
primary_genre_Reality-TV,node_1,1917
primary_genre_Romance,node_1,625
primary_genre_Sci-Fi,node_1,218
primary_genre_Short,node_1,1296
primary_genre_Sport,node_1,930
primary_genre_Talk-Show,node_1,3467
primary_genre_Thriller,node_1,191
primary_genre_UNKNOWN,node_1,2305
primary_genre_War,node_1,15
primary_genre_Western,node_1,40
title_type_movie,node_3,3242
title_type_short,node_3,5171
title_type_tvEpisode,node_3,43476
title_type_tvMiniSeries,node_3,324
title_type_tvMovie,node_3,733
title_type_tvSeries,node_3,1371
title_type_tvShort,node_3,45
title_type_tvSpecial,node_3,253
title_type_video,node_3,1499
title_type_videoGame,node_3,227
