descriptor_ui,descriptor_name,metadata_json,item_size_bytes,tree_number,tree_number_count,top_category,branch_code,subbranch_code
D000001,Calcimycin,"{""scope_notes"":[""An ionophorous, polyether antibiotic from Streptomyces chartreusensis. It binds and transports CALCIUM and other divalent cations across membranes and uncouples oxidative phosphorylation while inhibiting ATPase of rat liver mitochondria. The substance is used mostly as a biochemical tool to study the role of divalent cations in various biological systems.\n    ""],""entry_terms"":[""4-Benzoxazolecarboxylic acid, 5-(methylamino)-2-((3,9,11-trimethyl-8-(1-methyl-2-oxo-2-(1H-pyrrol-2-yl)ethyl)-1,7-dioxaspiro(5.5)undec-2-yl)methyl)-, (6S-(6alpha(2S*,3S*),8beta(R*),9beta,11alpha))-"",""A 23187"",""A-23187"",""A23187"",""A23187, Antibiotic"",""Antibiotic A23187"",""Calcimycin""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000031"",""qualifier_name"":""analogs & derivatives"",""abbreviation"":""AA""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000096"",""qualifier_name"":""biosynthesis"",""abbreviation"":""BI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000506"",""qualifier_name"":""poisoning"",""abbreviation"":""PO""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":null}",2832,D02.355.291.933.125,5,D,D02,D02.355
D000002,Temefos,"{""scope_notes"":[""An organothiophosphate insecticide.\n    ""],""entry_terms"":[""Abate"",""Difos"",""Temefos"",""Temephos""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000008"",""qualifier_name"":""administration & dosage"",""abbreviation"":""AD""},{""qualifier_ui"":""Q000009"",""qualifier_name"":""adverse effects"",""abbreviation"":""AE""},{""qualifier_ui"":""Q000031"",""qualifier_name"":""analogs & derivatives"",""abbreviation"":""AA""},{""qualifier_ui"":""Q000032"",""qualifier_name"":""analysis"",""abbreviation"":""AN""},{""qualifier_ui"":""Q000037"",""qualifier_name"":""antagonists & inhibitors"",""abbreviation"":""AI""},{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000138"",""qualifier_name"":""chemical synthesis"",""abbreviation"":""CS""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000302"",""qualifier_name"":""isolation & purification"",""abbreviation"":""IP""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000493"",""qualifier_name"":""pharmacokinetics"",""abbreviation"":""PK""},{""qualifier_ui"":""Q000494"",""qualifier_name"":""pharmacology"",""abbreviation"":""PD""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000627"",""qualifier_name"":""therapeutic use"",""abbreviation"":""TU""},{""qualifier_ui"":""Q000633"",""qualifier_name"":""toxicity"",""abbreviation"":""TO""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000819"",""qualifier_name"":""agonists"",""abbreviation"":""AG""}],""annotation"":""for use to kill or control insects, use no qualifiers on the insecticide or the insect; appropriate qualifiers may be used when other aspects of the insecticide are discussed such as the effect on a physiologic process or behavioral aspect of the insect; for poisoning, coordinate with ORGANOPHOSPHATE POISONING\n  ""}",2419,D02.705.400.625.800,3,D,D02,D02.705
D000003,Abattoirs,"{""scope_notes"":[""Places where animals are slaughtered and dressed for market.\n    ""],""entry_terms"":[""Abattoir"",""Abattoirs"",""House, Slaughter"",""Houses, Slaughter"",""Slaughter House"",""Slaughter Houses"",""Slaughterhouse"",""Slaughterhouses""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000331"",""qualifier_name"":""legislation & jurisprudence"",""abbreviation"":""LJ""},{""qualifier_ui"":""Q000458"",""qualifier_name"":""organization & administration"",""abbreviation"":""OG""},{""qualifier_ui"":""Q000592"",""qualifier_name"":""standards"",""abbreviation"":""ST""},{""qualifier_ui"":""Q000600"",""qualifier_name"":""supply & distribution"",""abbreviation"":""SD""},{""qualifier_ui"":""Q000639"",""qualifier_name"":""trends"",""abbreviation"":""TD""},{""qualifier_ui"":""Q000706"",""qualifier_name"":""statistics & numerical data"",""abbreviation"":""SN""},{""qualifier_ui"":""Q000941"",""qualifier_name"":""ethics"",""abbreviation"":""ES""}],""annotation"":null}",1120,J01.576.423.200.700.100,2,J,J01,J01.576
D000004,Abbreviations as Topic,"{""scope_notes"":[""Works about shortened forms of written words or phrases used for brevity.\n    ""],""entry_terms"":[""Abbreviations as Topic"",""Acronyms as Topic""],""allowable_qualifiers"":[],""annotation"":""includes acronyms; do not confuse with Publication Type ABBREVIATIONS\n  ""}",304,L01.559.598.400.556.131,1,L,L01,L01.559
D000005,Abdomen,"{""scope_notes"":[""That portion of the body that lies between the THORAX and the PELVIS.\n    ""],""entry_terms"":[""Abdomen"",""Abdomens""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000002"",""qualifier_name"":""abnormalities"",""abbreviation"":""AB""},{""qualifier_ui"":""Q000033"",""qualifier_name"":""anatomy & histology"",""abbreviation"":""AH""},{""qualifier_ui"":""Q000098"",""qualifier_name"":""blood supply"",""abbreviation"":""BS""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000254"",""qualifier_name"":""growth & development"",""abbreviation"":""GD""},{""qualifier_ui"":""Q000294"",""qualifier_name"":""innervation"",""abbreviation"":""IR""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""general or unspecified; prefer specifics; ABDOMINAL MUSCLES and specifics are available; abrupt disease requiring emergency surgery equals ABDOMEN, ACUTE\n  ""}",1545,A01.923.047,1,A,A01,A01.923
D000006,"Abdomen, Acute","{""scope_notes"":[""A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.\n    ""],""entry_terms"":[""Abdomen, Acute"",""Abdomens, Acute"",""Acute Abdomen"",""Acute Abdomens""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000139"",""qualifier_name"":""chemically induced"",""abbreviation"":""CI""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":null}",3072,C23.888.592.612.054.200,2,C,C23,C23.888
D000007,Abdominal Injuries,"{""scope_notes"":[""General or unspecified injuries involving organs in the abdominal cavity.\n    ""],""entry_terms"":[""Abdominal Injuries"",""Abdominal Injury"",""Injuries, Abdominal"",""Injury, Abdominal""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000139"",""qualifier_name"":""chemically induced"",""abbreviation"":""CI""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""general term for inj of organs in the abdom cavity; prefer specific organs /inj\n  ""}",3074,C26.017,1,C,C26,C26.017
D000008,Abdominal Neoplasms,"{""scope_notes"":[""New abnormal growth of tissue in the ABDOMEN.\n    ""],""entry_terms"":[""Abdominal Neoplasm"",""Abdominal Neoplasms"",""Neoplasm, Abdominal"",""Neoplasms, Abdominal""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000097"",""qualifier_name"":""blood"",""abbreviation"":""BL""},{""qualifier_ui"":""Q000098"",""qualifier_name"":""blood supply"",""abbreviation"":""BS""},{""qualifier_ui"":""Q000134"",""qualifier_name"":""cerebrospinal fluid"",""abbreviation"":""CF""},{""qualifier_ui"":""Q000139"",""qualifier_name"":""chemically induced"",""abbreviation"":""CI""},{""qualifier_ui"":""Q000145"",""qualifier_name"":""classification"",""abbreviation"":""CL""},{""qualifier_ui"":""Q000150"",""qualifier_name"":""complications"",""abbreviation"":""CO""},{""qualifier_ui"":""Q000151"",""qualifier_name"":""congenital"",""abbreviation"":""CN""},{""qualifier_ui"":""Q000175"",""qualifier_name"":""diagnosis"",""abbreviation"":""DI""},{""qualifier_ui"":""Q000178"",""qualifier_name"":""diet therapy"",""abbreviation"":""DH""},{""qualifier_ui"":""Q000188"",""qualifier_name"":""drug therapy"",""abbreviation"":""DT""},{""qualifier_ui"":""Q000191"",""qualifier_name"":""economics"",""abbreviation"":""EC""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000208"",""qualifier_name"":""ethnology"",""abbreviation"":""EH""},{""qualifier_ui"":""Q000209"",""qualifier_name"":""etiology"",""abbreviation"":""ET""},{""qualifier_ui"":""Q000235"",""qualifier_name"":""genetics"",""abbreviation"":""GE""},{""qualifier_ui"":""Q000266"",""qualifier_name"":""history"",""abbreviation"":""HI""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000401"",""qualifier_name"":""mortality"",""abbreviation"":""MO""},{""qualifier_ui"":""Q000451"",""qualifier_name"":""nursing"",""abbreviation"":""NU""},{""qualifier_ui"":""Q000453"",""qualifier_name"":""epidemiology"",""abbreviation"":""EP""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000517"",""qualifier_name"":""prevention & control"",""abbreviation"":""PC""},{""qualifier_ui"":""Q000523"",""qualifier_name"":""psychology"",""abbreviation"":""PX""},{""qualifier_ui"":""Q000532"",""qualifier_name"":""radiotherapy"",""abbreviation"":""RT""},{""qualifier_ui"":""Q000534"",""qualifier_name"":""rehabilitation"",""abbreviation"":""RH""},{""qualifier_ui"":""Q000556"",""qualifier_name"":""secondary"",""abbreviation"":""SC""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000628"",""qualifier_name"":""therapy"",""abbreviation"":""TH""},{""qualifier_ui"":""Q000648"",""qualifier_name"":""ultrastructure"",""abbreviation"":""UL""},{""qualifier_ui"":""Q000652"",""qualifier_name"":""urine"",""abbreviation"":""UR""},{""qualifier_ui"":""Q000662"",""qualifier_name"":""veterinary"",""abbreviation"":""VE""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""general term for neoplasms of organs in the abdominal cavity; prefer specific organ/neoplasm terms; coordinate IM with histological type of neoplasm if given (IM)\n  ""}",3448,C04.588.033,1,C,C04,C04.588
D000009,Abdominal Muscles,"{""scope_notes"":[""Muscles forming the ABDOMINAL WALL including RECTUS ABDOMINIS; ABDOMINAL OBLIQUE MUSCLES, transversus abdominis, pyramidalis muscles and quadratus abdominis.\n    ""],""entry_terms"":[""Abdominal Muscle"",""Abdominal Muscles"",""Abdominal, Transverse"",""Abdominals, Transverse"",""Abdomini, Quadratus"",""Abdominis, Quadratus"",""Cremaster Muscle"",""Cremaster Muscles"",""Muscle, Abdominal"",""Muscle, Cremaster"",""Muscle, Pyramidalis"",""Muscles, Abdominal"",""Muscles, Cremaster"",""Muscles, Pyramidalis"",""Pyramidalis Muscle"",""Pyramidalis Muscles"",""Quadratus Abdomini"",""Quadratus Abdominis"",""Transverse Abdominal"",""Transverse Abdominals"",""Transversus Abdominis""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000002"",""qualifier_name"":""abnormalities"",""abbreviation"":""AB""},{""qualifier_ui"":""Q000033"",""qualifier_name"":""anatomy & histology"",""abbreviation"":""AH""},{""qualifier_ui"":""Q000098"",""qualifier_name"":""blood supply"",""abbreviation"":""BS""},{""qualifier_ui"":""Q000166"",""qualifier_name"":""cytology"",""abbreviation"":""CY""},{""qualifier_ui"":""Q000187"",""qualifier_name"":""drug effects"",""abbreviation"":""DE""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000254"",""qualifier_name"":""growth & development"",""abbreviation"":""GD""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000293"",""qualifier_name"":""injuries"",""abbreviation"":""IN""},{""qualifier_ui"":""Q000294"",""qualifier_name"":""innervation"",""abbreviation"":""IR""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000637"",""qualifier_name"":""transplantation"",""abbreviation"":""TR""},{""qualifier_ui"":""Q000648"",""qualifier_name"":""ultrastructure"",""abbreviation"":""UL""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""/growth: coordinate with MUSCLE DEVELOPMENT; /embryol: coordinate with MUSCLE DEVELOPMENT if pertinent\n  ""}",2726,A02.633.567.050,1,A,A02,A02.633
D000010,Abducens Nerve,"{""scope_notes"":[""The 6th cranial nerve which originates in the ABDUCENS NUCLEUS of the PONS and sends motor fibers to the lateral rectus muscles of the EYE. Damage to the nerve or its nucleus disrupts horizontal eye movement control.\n    ""],""entry_terms"":[""Abducen, Nervus"",""Abducens Nerve"",""Abducens, Nervus"",""Abducent Nerve"",""Abducent Nerves"",""Cranial Nerve VI"",""Cranial Nerve VIs"",""Cranial Nerve, Sixth"",""Nerve VI"",""Nerve VI, Cranial"",""Nerve VIs"",""Nerve VIs, Cranial"",""Nerve, Abducens"",""Nerve, Abducent"",""Nerve, Sixth Cranial"",""Nerves, Sixth Cranial"",""Nervus Abducen"",""Nervus Abducens"",""Sixth Cranial Nerve"",""Sixth Cranial Nerves""],""allowable_qualifiers"":[{""qualifier_ui"":""Q000002"",""qualifier_name"":""abnormalities"",""abbreviation"":""AB""},{""qualifier_ui"":""Q000033"",""qualifier_name"":""anatomy & histology"",""abbreviation"":""AH""},{""qualifier_ui"":""Q000098"",""qualifier_name"":""blood supply"",""abbreviation"":""BS""},{""qualifier_ui"":""Q000166"",""qualifier_name"":""cytology"",""abbreviation"":""CY""},{""qualifier_ui"":""Q000187"",""qualifier_name"":""drug effects"",""abbreviation"":""DE""},{""qualifier_ui"":""Q000196"",""qualifier_name"":""embryology"",""abbreviation"":""EM""},{""qualifier_ui"":""Q000201"",""qualifier_name"":""enzymology"",""abbreviation"":""EN""},{""qualifier_ui"":""Q000254"",""qualifier_name"":""growth & development"",""abbreviation"":""GD""},{""qualifier_ui"":""Q000276"",""qualifier_name"":""immunology"",""abbreviation"":""IM""},{""qualifier_ui"":""Q000378"",""qualifier_name"":""metabolism"",""abbreviation"":""ME""},{""qualifier_ui"":""Q000382"",""qualifier_name"":""microbiology"",""abbreviation"":""MI""},{""qualifier_ui"":""Q000469"",""qualifier_name"":""parasitology"",""abbreviation"":""PS""},{""qualifier_ui"":""Q000473"",""qualifier_name"":""pathology"",""abbreviation"":""PA""},{""qualifier_ui"":""Q000502"",""qualifier_name"":""physiology"",""abbreviation"":""PH""},{""qualifier_ui"":""Q000503"",""qualifier_name"":""physiopathology"",""abbreviation"":""PP""},{""qualifier_ui"":""Q000528"",""qualifier_name"":""radiation effects"",""abbreviation"":""RE""},{""qualifier_ui"":""Q000601"",""qualifier_name"":""surgery"",""abbreviation"":""SU""},{""qualifier_ui"":""Q000637"",""qualifier_name"":""transplantation"",""abbreviation"":""TR""},{""qualifier_ui"":""Q000648"",""qualifier_name"":""ultrastructure"",""abbreviation"":""UL""},{""qualifier_ui"":""Q000737"",""qualifier_name"":""chemistry"",""abbreviation"":""CH""},{""qualifier_ui"":""Q000821"",""qualifier_name"":""virology"",""abbreviation"":""VI""},{""qualifier_ui"":""Q000000981"",""qualifier_name"":""diagnostic imaging"",""abbreviation"":""DG""}],""annotation"":""neoplasms = ABDUCENS NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM)\n  ""}",2557,A08.800.800.120.030,1,A,A08,A08.800
