fragment_id,node_id,fragment_weight
top_category_A,node_9,1908
top_category_B,node_5,3967
top_category_C,node_9,5069
top_category_D,node_7,10688
top_category_E,node_2,3141
top_category_F,node_8,1267
top_category_G,node_9,2513
top_category_H,node_2,479
top_category_I,node_8,759
top_category_J,node_8,657
top_category_K,node_1,208
top_category_L,node_1,501
top_category_M,node_8,361
top_category_N,node_1,2020
top_category_V,node_6,194
top_category_Z,node_10,406
branch_code_A01,node_8,97
branch_code_A02,node_10,226
branch_code_A03,node_4,76
branch_code_A04,node_7,46
branch_code_A05,node_5,83
branch_code_A06,node_8,57
branch_code_A07,node_8,135
branch_code_A08,node_1,404
branch_code_A09,node_4,116
branch_code_A10,node_3,182
branch_code_A11,node_1,606
branch_code_A12,node_7,70
branch_code_A13,node_2,68
branch_code_A14,node_4,81
branch_code_A15,node_4,109
branch_code_A16,node_2,69
branch_code_A17,node_5,17
branch_code_A18,node_3,41
branch_code_A19,node_8,10
branch_code_A20,node_2,14
branch_code_A21,node_5,7
branch_code_B01,node_6,2455
branch_code_B02,node_1,60
branch_code_B03,node_2,859
branch_code_B04,node_8,560
branch_code_B05,node_9,44
branch_code_C01,node_1,786
branch_code_C04,node_8,703
branch_code_C05,node_10,381
branch_code_C06,node_10,325
branch_code_C07,node_10,224
branch_code_C08,node_4,254
branch_code_C09,node_10,131
branch_code_C10,node_4,925
branch_code_C11,node_2,271
branch_code_C12,node_2,418
branch_code_C14,node_2,471
branch_code_C15,node_5,307
branch_code_C16,node_10,759
branch_code_C17,node_10,410
branch_code_C18,node_10,354
branch_code_C19,node_2,171
branch_code_C20,node_5,260
branch_code_C21,node_10,5
branch_code_C22,node_3,136
branch_code_C23,node_10,966
branch_code_C24,node_8,25
branch_code_C25,node_4,116
branch_code_C26,node_10,267
branch_code_D01,node_8,476
branch_code_D02,node_1,2179
branch_code_D03,node_10,1470
branch_code_D04,node_10,565
branch_code_D05,node_5,304
branch_code_D06,node_9,250
branch_code_D08,node_6,1898
branch_code_D09,node_5,687
branch_code_D10,node_1,326
branch_code_D12,node_6,4176
branch_code_D13,node_3,325
branch_code_D20,node_3,278
branch_code_D23,node_8,889
branch_code_D25,node_5,138
branch_code_D26,node_8,129
branch_code_D27,node_5,692
branch_code_E01,node_9,784
branch_code_E02,node_3,744
branch_code_E03,node_4,47
branch_code_E04,node_3,582
branch_code_E05,node_9,1213
branch_code_E06,node_7,203
branch_code_E07,node_3,345
branch_code_F01,node_4,573
branch_code_F02,node_10,350
branch_code_F03,node_4,235
branch_code_F04,node_2,216
branch_code_G01,node_10,227
branch_code_G02,node_10,395
branch_code_G03,node_10,185
branch_code_G04,node_1,197
branch_code_G05,node_1,582
branch_code_G06,node_3,76
branch_code_G07,node_7,546
branch_code_G08,node_1,166
branch_code_G09,node_8,168
branch_code_G10,node_6,47
branch_code_G11,node_10,237
branch_code_G12,node_3,122
branch_code_G13,node_5,13
branch_code_G14,node_10,36
branch_code_G15,node_3,36
branch_code_G16,node_7,193
branch_code_G17,node_1,71
branch_code_H01,node_1,245
branch_code_H02,node_5,273
branch_code_I01,node_1,558
branch_code_I02,node_1,94
