fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
top_category_A,top_category,A,branch_code_A01,branch_code,A01,97,"D000005,D000069259,D000078422,D000080869,D000080884,D000080886,D000090043,D000672,D000842,D001132,D001365,D001415,D001829,D001940,D002081,D002610,D002680,D003388,D003964,D004312,D004423,D004550,D005121,D005123,D005138,D005140,D005143,D005145,D005385,D005528,D005542,D005545,D005546,D006119,D006214,D006225,D006257,D006365,D006615,D007264,D007717,D007866,D008046,D008161,D008482,D008643,D008646,D008663,D008684,D009055,D009333,D009558,D009666,D009852,D010388,D010502,D010529,D010537,D012187,D012445,D012535,D012782,D013848,D013909,D013933,D014034,D014472,D014781,D014953,D017773,D019291,D019737,D034841,D034861,D034941,D035002,D035262,D035301,D035421,D035422,D035423,D035441,D042361,D054048,D057892,D058958,D059925,D060052,D060053,D060726,D061028,D064591,D064592,D064593,D064594,D064595,D064596"
top_category_A,top_category,A,branch_code_A02,branch_code,A02,226,"D000009,D000069262,D000069343,D000069590,D000069592,D000069593,D000070597,D000070602,D000070606,D000070614,D000070616,D000070632,D000070633,D000070637,D000071596,D000071976,D000072600,D000077,D000080383,D000080869,D000080884,D000080886,D000083442,D000088263,D000094364,D000097547,D000125,D000173,D000174,D000539,D000843,D001133,D001193,D001268,D001269,D001270,D001368,D001842,D001956,D002061,D002111,D002348,D002356,D002358,D002574,D002680,D002968,D003050,D003388,D003393,D003413,D003724,D003964,D004425,D004551,D004824,D004825,D004838,D005004,D005147,D005152,D005205,D005206,D005269,D005270,D005272,D005360,D005384,D005529,D005539,D005624,D006132,D006621,D006811,D006928,D007085,D007366,D007403,D007512,D007568,D007596,D007719,D007817,D007821,D007867,D008022,D008023,D008159,D008334,D008335,D008371,D008406,D008410,D008416,D008437,D008592,D008662,D008682,D008683,D009130,D009131,D009132,D009141,D009206,D009215,D009295,D009334,D009777,D009801,D009809,D009915,D010156,D010210,D010294,D010329,D010369,D010384,D010579,D010609,D011626,D011630,D011631,D011884,D012132,D012272,D012404,D012446,D012447,D012540,D012658,D012667,D012716,D012785,D012863,D012886,D013100,D013115,D013131,D013198,D013247,D013248,D013249,D013380,D013582,D013583,D013628,D013639,D013640,D013701,D013703,D013704,D013710,D013719,D013904,D013957,D013977,D014033,D014420,D014457,D014955,D014989,D015050,D016118,D016119,D016658,D017006,D017568,D017746,D017773,D017843,D017844,D017846,D017847,D017885,D017888,D018482,D018483,D019224,D019291,D020390,D021361,D021362,D021801,D033023,D035262,D035301,D049630,D049631,D050276,D050277,D050278,D050279,D050280,D050281,D050823,D050824,D051220,D051221,D051222,D051223,D051224,D051225,D051445,D051457,D051472,D051478,D052097,D052737,D053401,D055158,D055171,D055172,D055762,D056739,D056740,D057070,D057071,D057645,D058430,D058475,D061165,D064131,D064169,D064170,D064171,D066186"
top_category_A,top_category,A,branch_code_A03,branch_code,A03,76,"D000069592,D000071041,D001003,D001065,D001648,D001652,D001653,D001659,D002011,D002299,D002432,D003106,D003135,D003549,D003817,D004064,D004386,D004759,D004943,D004947,D005704,D005748,D005753,D006500,D007080,D007082,D007413,D007420,D007421,D007422,D007515,D007583,D008035,D008099,D008467,D009055,D009803,D010179,D010183,D010295,D010306,D010614,D011706,D011708,D012007,D012469,D012470,D012809,D013270,D013361,D013363,D013650,D014059,D014670,D017734,D018530,D018987,D019863,D019864,D019872,D019879,D020397,D020895,D041741,D041742,D041981,D044682,D044683,D044684,D046790,D049630,D049631,D050416,D050417,D050418,D054838"
top_category_A,top_category,A,branch_code_A04,branch_code,A04,46,"D000234,D001193,D001980,D003413,D004825,D005005,D005626,D005931,D007013,D007817,D007820,D007821,D007830,D008168,D008443,D009295,D009296,D009297,D009300,D009305,D009666,D009831,D009960,D010256,D010609,D010614,D010994,D011650,D012137,D013101,D013957,D014066,D014132,D014420,D014827,D015824,D018034,D020397,D020545,D049631,D055158,D055171,D055172,D055745,D056144,D056809"
top_category_A,top_category,A,branch_code_A05,branch_code,A05,83,"D000177,D000290,D001472,D001743,D001814,D001956,D002030,D002584,D002987,D003338,D003656,D004543,D004717,D004822,D005187,D005835,D005836,D005837,D005854,D005920,D006066,D006080,D006107,D006924,D007606,D007668,D007670,D007672,D007678,D007679,D007682,D007684,D007685,D007686,D007687,D007985,D008138,D008184,D009215,D009399,D009865,D009867,D010053,D010063,D010413,D011467,D012152,D012404,D012611,D012669,D012670,D012671,D012708,D013077,D013082,D013085,D013087,D013090,D013093,D013094,D013737,D013799,D014513,D014521,D014551,D014566,D014599,D014621,D014649,D014844,D015044,D015053,D015571,D032961,D033301,D050199,D050476,D050527,D050533,D052816,D054885,D059705,D060730"
top_category_A,top_category,A,branch_code_A06,branch_code,A06,57,"D000084602,D000094365,D000302,D000311,D000313,D002837,D002838,D003338,D004702,D004703,D004759,D006066,D006080,D006107,D007030,D007515,D007985,D008184,D008473,D009490,D010053,D010220,D010233,D010280,D010870,D010902,D010903,D010904,D010913,D013351,D013356,D013737,D013799,D013961,D015383,D015384,D015385,D015571,D019439,D019858,D019861,D019863,D019864,D031608,D043485,D050416,D050417,D050418,D052680,D052681,D052682,D052683,D052684,D052716,D052717,D054885,D066280"
top_category_A,top_category,A,branch_code_A07,branch_code,A07,135,"D000069236,D000077426,D000077502,D000099130,D000099134,D001011,D001012,D001013,D001021,D001158,D001160,D001163,D001283,D001366,D001367,D001401,D001488,D001808,D001812,D001813,D001814,D001916,D001981,D002036,D002196,D002319,D002339,D002342,D002343,D002346,D002426,D002445,D002536,D002550,D002815,D002941,D003331,D003392,D004373,D004699,D004730,D005263,D005268,D005318,D006321,D006325,D006329,D006346,D006351,D006352,D006499,D006503,D007083,D007084,D007601,D008323,D008438,D008576,D008638,D008642,D008943,D009131,D009206,D009880,D010210,D010496,D011150,D011152,D011168,D011169,D011651,D011664,D011667,D011690,D012077,D012082,D012161,D012169,D012171,D012501,D012849,D012850,D013157,D013162,D013348,D013350,D013699,D013895,D014261,D014338,D014469,D014471,D014650,D014651,D014680,D014682,D014683,D014684,D014699,D014711,D015824,D016121,D016122,D016909,D017534,D017535,D017536,D017537,D017538,D017539,D017540,D018916,D019074,D019842,D020286,D020517,D020768,D020769,D020771,D024405,D032383,D032386,D049428,D054063,D054064,D054085,D054087,D054088,D054089,D054326,D055422,D055806,D055988,D060730,D063194"
top_category_A,top_category,A,branch_code_A08,branch_code,A08,404,"D000010,D000055,D000071037,D000071038,D000071039,D000071040,D000073637,D000074523,D000077502,D000079482,D000080906,D000082702,D000083382,D000084602,D000087623,D000087642,D000087643,D000094242,D000094282,D000094365,D000095491,D000095746,D000097803,D000098559,D000099130,D000159,D000320,D000344,D000679,D000870,D001016,D001099,D001111,D001253,D001303,D001306,D001338,D001339,D001341,D001369,D001479,D001812,D001917,D001921,D001933,D002344,D002420,D002421,D002447,D002490,D002525,D002529,D002530,D002531,D002535,D002540,D002552,D002572,D002628,D002799,D002814,D002831,D002946,D003056,D003335,D003336,D003337,D003342,D003391,D003689,D003712,D004027,D004302,D004388,D004525,D004805,D005116,D005154,D005267,D005625,D005724,D005725,D005726,D005727,D005728,D005829,D005830,D005917,D005924,D005930,D006057,D006179,D006198,D006199,D006624,D007001,D007002,D007025,D007026,D007030,D007031,D007032,D007033,D007034,D007245,D007367,D007395,D007823,D008032,D008036,D008125,D008160,D008326,D008340,D008442,D008465,D008473,D008474,D008475,D008526,D008578,D008636,D009044,D009045,D009046,D009047,D009138,D009186,D009197,D009411,D009412,D009413,D009415,D009420,D009430,D009434,D009441,D009451,D009454,D009457,D009469,D009470,D009474,D009475,D009476,D009490,D009562,D009619,D009620,D009714,D009776,D009778,D009802,D009830,D009832,D009833,D009836,D009847,D009882,D009897,D009898,D009900,D010141,D010234,D010275,D010286,D010296,D010487,D010525,D010543,D010786,D010791,D010841,D010870,D010902,D010903,D010904,D011149,D011301,D011311,D011661,D011689,D011699,D011712,D011826,D011901,D011903,D011984,D012009,D012012,D012125,D012154,D012165,D012249,D012374,D012583,D012584,D012668,D012686,D012688,D013003,D013116,D013126,D013127,D013133,D013136,D013153,D013233,D013346,D013351,D013355,D013356,D013368,D013376,D013377,D013378,D013477,D013493,D013495,D013497,D013564,D013569,D013570,D013572,D013650,D013681,D013687,D013702,D013787,D013788,D013823,D013900,D013979,D014275,D014276,D014278,D014279,D014321,D014371,D014459,D014630,D014666,D014697,D014725,D014726,D014793,D014795,D016501,D016548,D016874,D017072,D017397,D017552,D017557,D017615,D017626,D017628,D017729,D017776,D017777,D017779,D017783,D017833,D017933,D017948,D017949,D017950,D017952,D017956,D017966,D018034,D018069,D018072,D018728,D018862,D018891,D019261,D019262,D019579,D019580,D019581,D019599,D019600,D020392,D020419,D020530,D020531,D020532,D020534,D020540,D020542,D020546,D020547,D020643,D020644,D020645,D020646,D020647,D020649,D020651,D020656,D020665,D020667,D020670,D020671,D020712,D020772,D020824,D025042,D026602,D027161,D031608,D036421,D043485,D045042,D046568,D046569,D049229,D049428,D051245,D051248,D052680,D052681,D052682,D052683,D052684,D052716,D052717,D053400,D054022,D054024,D054351,D055211,D055212,D055214,D055351,D056547,D056651,D056654,D057907,D059167,D059290,D059326,D059329,D059330,D059331,D060525,D063226,D063928,D065711,D065726,D065813,D065814,D065820,D065821,D065823,D065827,D065828,D065832,D065833,D065835,D065836,D065837,D065838,D065839,D065841,D065842,D065843,D065844,D065846,D065847,D065848,D065849,D065850,D065866,D066127,D066128,D066148,D066151,D066152,D066187,D066191,D066193,D066194,D066195,D066208,D066240,D066243,D066245,D066250,D066265,D066266,D066267,D066268,D066271,D066272,D066274,D066276,D066277,D066278,D066280,D066293,D066294,D066328"
top_category_A,top_category,A,branch_code_A09,branch_code,A09,116,"D000091282,D000092662,D000867,D000869,D001082,D001489,D001813,D002829,D002924,D003051,D003052,D003053,D003228,D003315,D003319,D003689,D003886,D004423,D004424,D004425,D004429,D004431,D004432,D004711,D004712,D004728,D005064,D005123,D005140,D005143,D005584,D005654,D006198,D006199,D007188,D007498,D007758,D007760,D007761,D007765,D007903,D007904,D007907,D007908,D008266,D008267,D008307,D008537,D009301,D009666,D009831,D009898,D009925,D010037,D010046,D010786,D010857,D011680,D012160,D012165,D012374,D012405,D012444,D012533,D012590,D012665,D012679,D013136,D013137,D013198,D013199,D013316,D013650,D013680,D013719,D014129,D014432,D014602,D014722,D014723,D014725,D014726,D014822,D016570,D016850,D017948,D017949,D017956,D018034,D018069,D018072,D018916,D019147,D019573,D020397,D020419,D025042,D043485,D050541,D051245,D051248,D054644,D054738,D054776,D054777,D055211,D055212,D055213,D055214,D055351,D055493,D057852,D057866,D057972,D058452,D058475"
top_category_A,top_category,A,branch_code_A10,branch_code,A10,182,"D000069236,D000069262,D000069343,D000069590,D000069592,D000069593,D000069796,D000070614,D000070616,D000070633,D000070637,D000071036,D000071041,D000071538,D000071556,D000072356,D000072600,D000072662,D000072717,D000080944,D000092303,D000094182,D000095543,D000099134,D000153,D000234,D000273,D000482,D000650,D001050,D001472,D001485,D001489,D001825,D001842,D001857,D001956,D002001,D002030,D002060,D002146,D002356,D002823,D002824,D002921,D003238,D003886,D004439,D004547,D004727,D004728,D004729,D004730,D004759,D004805,D004817,D004848,D005088,D005110,D005205,D005206,D005321,D005753,D006097,D006253,D006924,D007403,D007413,D007627,D007765,D007820,D008022,D008023,D008198,D008221,D008321,D008537,D008566,D008592,D009061,D009092,D009130,D009131,D009132,D009186,D009206,D009210,D009215,D009297,D009417,D009441,D009470,D009831,D009940,D010295,D010306,D010496,D010521,D010537,D010581,D010857,D010994,D011467,D011901,D012404,D012469,D012470,D012518,D012519,D012627,D012670,D012704,D013154,D013361,D013363,D013524,D013545,D013950,D014024,D014066,D015017,D016118,D016119,D016476,D016570,D017439,D017843,D017844,D017846,D017847,D017885,D017888,D018034,D018482,D018485,D018656,D018657,D018858,D018859,D018987,D019459,D019573,D019738,D019739,D019863,D019864,D019872,D019879,D020286,D020397,D020545,D020566,D020895,D032383,D032386,D039021,D040521,D042361,D042541,D046790,D049033,D050151,D050152,D050153,D050507,D050533,D051445,D051457,D051472,D051478,D052436,D053401,D054047,D054048,D054792,D054838,D058475,D058752,D059631,D061525,D063194,D064827"
