fragment_id,node_id,fragment_weight
top_category_A,node_9,19
top_category_B,node_2,22
top_category_C,node_9,69
top_category_D,node_3,118
top_category_E,node_5,25
top_category_F,node_5,10
top_category_G,node_3,15
top_category_H,node_9,3
top_category_I,node_2,4
top_category_J,node_2,4
top_category_L,node_1,2
top_category_M,node_1,5
top_category_N,node_4,16
branch_code_A01,node_5,1
branch_code_A02,node_1,5
branch_code_A04,node_6,1
branch_code_A05,node_3,3
branch_code_A06,node_10,3
branch_code_A08,node_2,3
branch_code_A10,node_5,3
branch_code_A11,node_4,2
branch_code_A13,node_4,1
branch_code_A14,node_6,1
branch_code_A15,node_5,2
branch_code_B01,node_10,6
branch_code_B03,node_5,9
branch_code_B04,node_5,6
branch_code_C01,node_5,13
branch_code_C04,node_2,13
branch_code_C05,node_2,3
branch_code_C06,node_6,1
branch_code_C07,node_6,1
branch_code_C08,node_6,2
branch_code_C09,node_6,2
branch_code_C10,node_6,4
branch_code_C11,node_1,1
branch_code_C12,node_5,13
branch_code_C14,node_4,1
branch_code_C16,node_2,10
branch_code_C17,node_5,7
branch_code_C18,node_2,9
branch_code_C19,node_2,9
branch_code_C20,node_10,2
branch_code_C22,node_10,2
branch_code_C23,node_1,7
branch_code_C25,node_6,1
branch_code_C26,node_1,2
branch_code_D01,node_4,4
branch_code_D02,node_9,40
branch_code_D03,node_4,26
branch_code_D04,node_4,6
branch_code_D05,node_6,3
branch_code_D06,node_4,1
branch_code_D08,node_5,31
branch_code_D09,node_1,9
branch_code_D10,node_1,2
branch_code_D12,node_4,13
branch_code_D13,node_6,13
branch_code_D20,node_1,1
branch_code_D23,node_6,1
branch_code_D25,node_1,2
branch_code_D26,node_6,1
branch_code_D27,node_4,7
branch_code_E01,node_1,2
branch_code_E02,node_6,12
branch_code_E04,node_3,6
branch_code_E05,node_1,3
branch_code_E06,node_2,3
branch_code_E07,node_9,1
branch_code_F01,node_4,5
branch_code_F02,node_4,2
branch_code_F03,node_2,1
branch_code_F04,node_2,3
branch_code_G01,node_1,3
branch_code_G02,node_6,5
branch_code_G03,node_1,4
branch_code_G04,node_2,1
branch_code_G07,node_6,6
branch_code_G08,node_1,1
branch_code_G09,node_10,1
branch_code_G11,node_1,1
branch_code_G14,node_6,2
branch_code_G16,node_6,3
branch_code_H01,node_1,1
branch_code_H02,node_2,2
branch_code_I01,node_10,3
branch_code_I03,node_9,1
branch_code_J01,node_6,4
branch_code_J03,node_6,1
branch_code_L01,node_2,2
branch_code_M01,node_3,5
branch_code_N02,node_9,3
branch_code_N03,node_2,4
branch_code_N04,node_1,1
branch_code_N05,node_1,2
branch_code_N06,node_6,9
subbranch_code_A01.923,node_4,1
subbranch_code_A02.633,node_6,1
subbranch_code_A02.835,node_10,3
subbranch_code_A02.880,node_5,1
subbranch_code_A04.623,node_1,1
subbranch_code_A05.360,node_2,2
subbranch_code_A06.300,node_1,3
subbranch_code_A08.800,node_1,3
subbranch_code_A10.165,node_6,2
subbranch_code_A10.549,node_10,1
subbranch_code_A11.118,node_1,1
subbranch_code_A11.284,node_1,1
subbranch_code_A11.443,node_2,1
subbranch_code_A11.497,node_1,1
subbranch_code_A13.869,node_10,1
subbranch_code_A14.724,node_10,1
subbranch_code_A15.145,node_6,1
subbranch_code_A15.382,node_10,1
subbranch_code_B01.046,node_9,1
