fragment_id,scheme,value,fragment_size,descriptor_ids,descriptor_names
top_category_A,top_category,A,19,"D000005,D000009,D000010,D000018,D000050,D000055,D000077,D000125,D000153,D000159,D000173,D000174,D000177,D000234,D000273,D000290,D000302,D000311,D000313",Abdomen|Abdominal Muscles|Abducens Nerve|Abomasum|Acanthocytes|Accessory Nerve|Acetabulum|Achilles Tendon|Acne Keloid|Acromioclavicular Joint|Acromion|Acrosome|Adenoids|Adipose Tissue|Adnexa Uteri|Adrenal Cortex|Adrenal Glands|Adrenal Medulla|Vestibulocochlear Nerve
top_category_B,top_category,B,22,"D000011,D000045,D000048,D000049,D000053,D000076,D000091,D000127,D000128,D000129,D000150,D000164,D000188,D000190,D000191,D000192,D000229,D000256,D000259,D000260,D000261,D_RE_001","Abelson murine leukemia virus|Acacia|Acanthamoeba|Acanthocephala|Acari|Acetabularia|Acetobacter|Acholeplasma|Acholeplasma laidlawii|Acholeplasmataceae|Acinetobacter|Acremonium|Actinobacillus|Actinomyces|Actinomycetaceae|Actinomycetales|Adenoviridae|Adenoviruses, Human|Adenoviruses, Simian|Aviadenovirus|Dependovirus"
top_category_C,top_category,C,69,"D000006,D000007,D000008,D000012,D000013,D000014,D000015,D000016,D000022,D000026,D000027,D000030,D000031,D000033,D000034,D000037,D000038,D000039,D000051,D000052,D000126,D000130,D000137,D000138,D000140,D000141,D000142,D000151,D000152,D000153,D000160,D000163,D000168,D000169,D000170,D000172,D000182,D000187,D000189,D000193,D000196,D000197,D000208,D000210,D000219,D000224,D000230,D000231,D000232,D000235,D000236,D000237,D000238,D000239,D000257,D000258,D000267,D000270,D000274,D000291,D000292,D000303,D000306,D000307,D000308,D000309,D000310,D000312,D000314","ACTH Syndrome, Ectopic|Abdomen, Acute|Abdominal Injuries|Abdominal Neoplasms|Abetalipoproteinemia|Abnormalities, Drug-Induced|Abnormalities, Multiple|Abnormalities, Radiation-Induced|Abortion, Habitual|Abortion, Incomplete|Abortion, Missed|Abortion, Septic|Abortion, Spontaneous|Abortion, Threatened|Abortion, Veterinary|Abruptio Placentae|Abscess|Acantholysis|Acanthosis Nigricans|Achlorhydria|Achondroplasia|Acid-Base Imbalance|Acidosis|Acidosis, Lactic|Acidosis, Renal Tubular|Acidosis, Respiratory|Acinetobacter Infections|Acne Keloid|Acne Vulgaris|Acquired Immunodeficiency Syndrome|Acrocephalosyndactylia|Acrodermatitis|Acrodynia|Acromegaly|Actinobacillosis|Actinobacillus Infections|Actinomycetales Infections|Actinomycosis|Actinomycosis, Cervicofacial|Acute Disease|Acute-Phase Reaction|Adams-Stokes Syndrome|Addison Disease|Adenocarcinoma|Adenocarcinoma, Papillary|Adenofibroma|Adenolymphoma|Adenoma|Adenoma, Acidophil|Adenoma, Basophil|Adenoma, Chromophobe|Adenoviridae Infections|Adenovirus Infections, Human|Adie Syndrome|Adiposis Dolorosa|Adnexal Diseases|Adrenal Cortex Diseases|Adrenal Cortex Neoplasms|Adrenal Gland Diseases|Adrenal Gland Neoplasms|Adrenal Hyperplasia, Congenital|Adrenal Insufficiency|Adrenal Rest Tumor|Adrenocortical Hyperfunction|Congenital Abnormalities|Pelvic Inflammatory Disease|Peritonsillar Abscess|Tissue Adhesions|Vestibulocochlear Nerve Diseases"
top_category_D,top_category,D,118,"D000001,D000002,D000017,D000019,D000020,D000021,D000036,D000040,D000070,D000072,D000073,D000074,D000075,D000079,D000080,D000081,D000082,D000083,D000084,D000085,D000086,D000089,D000090,D000092,D000093,D000094,D000095,D000096,D000097,D000098,D000099,D000100,D000101,D000102,D000103,D000104,D000105,D000106,D000108,D000109,D000110,D000111,D000112,D000113,D000114,D000115,D000116,D000117,D000118,D000119,D000120,D000121,D000122,D000123,D000135,D000143,D000144,D000145,D000146,D000147,D000148,D000149,D000154,D000156,D000157,D000165,D000166,D000167,D000171,D000175,D000176,D000178,D000179,D000180,D000181,D000183,D000185,D000186,D000198,D000199,D000205,D000209,D000212,D000213,D000214,D000216,D000217,D000218,D000225,D000226,D000227,D000228,D000241,D000242,D000243,D000244,D000245,D000246,D000247,D000248,D000249,D000250,D000251,D000252,D000254,D000255,D000262,D000263,D000264,D000265,D000266,D000269,D000272,D000276,D000277,D000301,D000305,D000316","ABO Blood-Group System|Abortifacient Agents|Abortifacient Agents, Nonsteroidal|Abortifacient Agents, Steroidal|Abrin|Abscisic Acid|Acebutolol|Acecainide|Acedapsone|Acenaphthenes|Acenocoumarol|Acepromazine|Acetaldehyde|Acetals|Acetamides|Acetaminophen|Acetanilides|Acetate Kinase|Acetate-CoA Ligase|Acetates|Acetazolamide|Acetic Anhydrides|Acetoacetates|Acetohexamide|Acetoin|Acetoin Dehydrogenase|Acetolactate Synthase|Acetone|Acetonitriles|Acetophenones|Acetoxyacetylaminofluorene|Acetrizoic Acid|Acetyl Coenzyme A|Acetyl-CoA C-Acetyltransferase|Acetyl-CoA C-Acyltransferase|Acetyl-CoA Carboxylase|Acetyl-CoA Hydrolase|Acetylcarnitine|Acetylcholine|Acetylcholinesterase|Acetylcysteine|Acetyldigitoxins|Acetyldigoxins|Acetylene|Acetylesterase|Acetylgalactosamine|Acetylglucosamine|Acetylglucosaminidase|Acetylmuramyl-Alanyl-Isoglutamine|Acetylserotonin O-Methyltransferase|Acetylthiocholine|Acetyltransferases|Acid Phosphatase|Acids|Acids, Acyclic|Acids, Aldehydic|Acids, Carbocyclic|Acids, Heterocyclic|Acids, Noncarboxylic|Acidulated Phosphate Fluoride|Aconitate Hydratase|Aconitic Acid|Aconitine|Acridine Orange|Acridines|Acriflavine|Acrolein|Acronine|Acrosin|Acrylamides|Acrylates|Acrylic Resins|Acrylonitrile|Actihaemyl|Actinin|Actinium|Actins|Actomyosin|Acute-Phase Proteins|Acyclovir|Acyl Carrier Protein|Acyl Coenzyme A|Acyltransferases|Adamantane|Adenine|Adenine Nucleotides|Adenine Phosphoribosyltransferase|Adenosine|Adenosine Deaminase|Adenosine Diphosphate|Adenosine Diphosphate Glucose|Adenosine Diphosphate Ribose|Adenosine Diphosphate Sugars|Adenosine Kinase|Adenosine Monophosphate|Adenosine Phosphosulfate|Adenosine Triphosphatases|Adenosine Triphosphate|Adenylate Kinase|Adenylosuccinate Lyase|Adenylosuccinate Synthase|Adenylyl Cyclases|Adenylyl Imidodiphosphate|Adhesives|Adipates|Adjuvants, Immunologic|Adjuvants, Pharmaceutic|Adosterol|Adrenal Cortex Hormones|Adrenergic alpha-Agonists|Calcimycin|Calcium-Transporting ATPases|Cyclic AMP|Mitochondrial ADP, ATP Translocases|N-Acylneuraminate Cytidylyltransferase|Sodium-Potassium-Exchanging ATPase|Spectinomycin|Temefos"
top_category_E,top_category,E,25,"D000025,D000028,D000029,D000032,D000044,D000134,D000158,D000161,D000201,D000202,D000203,D000206,D000233,D000278,D000279,D000280,D000281,D000282,D000283,D000284,D000285,D000286,D000287,D000304,D000315","Abortion, Eugenic|Abortion, Induced|Abortion, Legal|Abortion, Therapeutic|Acid Etching, Dental|Acoustic Impedance Tests|Acoustic Stimulation|Activation Analysis|Activator Appliances|Activities of Daily Living|Actuarial Analysis|Adenoidectomy|Administration, Buccal|Administration, Cutaneous|Administration, Inhalation|Administration, Intranasal|Administration, Intravaginal|Administration, Intravesical|Administration, Oral|Administration, Rectal|Administration, Sublingual|Administration, Topical|Adrenal Cortex Function Tests|Adrenalectomy|Dental Abutments"
top_category_F,top_category,F,10,"D000035,D000041,D000057,D000124,D000184,D000223,D000275,D000294,D000296,D000297","Abreaction|Absenteeism|Accident Proneness|Achievement|Acting Out|Adaptation, Psychological|Adjustment Disorders|Adolescent Behavior|Adolescent Psychiatry|Psychology, Adolescent"
top_category_G,top_category,G,15,"D000016,D000022,D000042,D000054,D000064,D000065,D000107,D000136,D000200,D000204,D000215,D000220,D000221,D000222,D000268","Abnormalities, Radiation-Induced|Abortion, Spontaneous|Absorption|Acceleration|Acclimatization|Accommodation, Ocular|Acetylation|Acid-Base Equilibrium|Action Potentials|Activity Cycles|Acylation|Adaptation, Biological|Adaptation, Ocular|Adaptation, Physiological|Adhesiveness"
top_category_H,top_category,H,3,"D000162,D000295,D000296",Acoustics|Adolescent Medicine|Adolescent Psychiatry
top_category_I,top_category,I,4,"D000024,D000069,D000203,D000300","Abortion, Illegal|Acculturation|Activities of Daily Living|Adoption"
top_category_J,top_category,J,4,"D000003,D000149,D000180,D000269",Abattoirs|Acidulated Phosphate Fluoride|Acrylic Resins|Adhesives
