fragment_1,scheme_1,value_1,fragment_2,scheme_2,value_2,overlap_size,overlap_descriptor_ids
top_category_A,top_category,A,branch_code_A01,branch_code,A01,1,D000005
top_category_A,top_category,A,branch_code_A02,branch_code,A02,5,"D000009,D000077,D000125,D000173,D000174"
top_category_A,top_category,A,branch_code_A04,branch_code,A04,1,D000234
top_category_A,top_category,A,branch_code_A05,branch_code,A05,2,"D000177,D000290"
top_category_A,top_category,A,branch_code_A06,branch_code,A06,3,"D000302,D000311,D000313"
top_category_A,top_category,A,branch_code_A08,branch_code,A08,3,"D000010,D000055,D000159"
top_category_A,top_category,A,branch_code_A10,branch_code,A10,3,"D000153,D000234,D000273"
top_category_A,top_category,A,branch_code_A11,branch_code,A11,2,"D000050,D000177"
top_category_A,top_category,A,branch_code_A13,branch_code,A13,1,D000018
top_category_A,top_category,A,branch_code_A14,branch_code,A14,1,D000234
top_category_A,top_category,A,branch_code_A15,branch_code,A15,2,"D000050,D000234"
top_category_A,top_category,A,branch_code_C17,branch_code,C17,1,D000153
top_category_A,top_category,A,subbranch_code_A01.923,subbranch_code,A01.923,1,D000005
top_category_A,top_category,A,subbranch_code_A02.633,subbranch_code,A02.633,1,D000009
top_category_A,top_category,A,subbranch_code_A02.835,subbranch_code,A02.835,3,"D000077,D000173,D000174"
top_category_A,top_category,A,subbranch_code_A02.880,subbranch_code,A02.880,1,D000125
top_category_A,top_category,A,subbranch_code_A04.623,subbranch_code,A04.623,1,D000234
top_category_A,top_category,A,subbranch_code_A05.360,subbranch_code,A05.360,2,"D000177,D000290"
top_category_A,top_category,A,subbranch_code_A06.300,subbranch_code,A06.300,3,"D000302,D000311,D000313"
top_category_A,top_category,A,subbranch_code_A08.800,subbranch_code,A08.800,3,"D000010,D000055,D000159"
top_category_A,top_category,A,subbranch_code_A10.165,subbranch_code,A10.165,2,"D000153,D000273"
top_category_A,top_category,A,subbranch_code_A10.549,subbranch_code,A10.549,1,D000234
top_category_A,top_category,A,subbranch_code_A11.118,subbranch_code,A11.118,1,D000050
top_category_A,top_category,A,subbranch_code_A11.284,subbranch_code,A11.284,1,D000177
top_category_A,top_category,A,subbranch_code_A11.443,subbranch_code,A11.443,1,D000050
top_category_A,top_category,A,subbranch_code_A11.497,subbranch_code,A11.497,1,D000177
top_category_A,top_category,A,subbranch_code_A13.869,subbranch_code,A13.869,1,D000018
top_category_A,top_category,A,subbranch_code_A14.724,subbranch_code,A14.724,1,D000234
top_category_A,top_category,A,subbranch_code_A15.145,subbranch_code,A15.145,1,D000050
top_category_A,top_category,A,subbranch_code_A15.382,subbranch_code,A15.382,1,D000234
top_category_A,top_category,A,subbranch_code_C17.300,subbranch_code,C17.300,1,D000153
top_category_A,top_category,A,subbranch_code_C17.800,subbranch_code,C17.800,1,D000153
top_category_B,top_category,B,branch_code_A05,branch_code,A05,1,D_RE_001
top_category_B,top_category,B,branch_code_B01,branch_code,B01,6,"D000045,D000048,D000049,D000053,D000076,D000164"
top_category_B,top_category,B,branch_code_B03,branch_code,B03,9,"D000091,D000127,D000128,D000129,D000150,D000188,D000190,D000191,D000192"
top_category_B,top_category,B,branch_code_B04,branch_code,B04,6,"D000011,D000229,D000256,D000259,D000260,D000261"
top_category_B,top_category,B,subbranch_code_B01.046,subbranch_code,B01.046,1,D000048
top_category_B,top_category,B,subbranch_code_B01.050,subbranch_code,B01.050,2,"D000049,D000053"
top_category_B,top_category,B,subbranch_code_B01.300,subbranch_code,B01.300,1,D000164
top_category_B,top_category,B,subbranch_code_B01.875,subbranch_code,B01.875,2,"D000045,D000076"
top_category_B,top_category,B,subbranch_code_B03.440,subbranch_code,B03.440,6,"D000091,D000127,D000128,D000129,D000150,D000188"
top_category_B,top_category,B,subbranch_code_B03.510,subbranch_code,B03.510,3,"D000190,D000191,D000192"
top_category_B,top_category,B,subbranch_code_B03.660,subbranch_code,B03.660,3,"D000091,D000150,D000188"
top_category_B,top_category,B,subbranch_code_B04.280,subbranch_code,B04.280,5,"D000229,D000256,D000259,D000260,D000261"
top_category_B,top_category,B,subbranch_code_B04.613,subbranch_code,B04.613,1,D000011
top_category_B,top_category,B,subbranch_code_B04.820,subbranch_code,B04.820,1,D000011
top_category_C,top_category,C,branch_code_A10,branch_code,A10,1,D000153
top_category_C,top_category,C,branch_code_C01,branch_code,C01,13,"D000031,D000038,D000039,D000151,D000163,D000187,D000189,D000193,D000196,D000197,D000257,D000258,D000292"
top_category_C,top_category,C,branch_code_C04,branch_code,C04,13,"D000008,D000182,D000230,D000231,D000232,D000235,D000236,D000237,D000238,D000239,D000306,D000310,D000314"
top_category_C,top_category,C,branch_code_C05,branch_code,C05,3,"D000130,D000168,D000172"
top_category_C,top_category,C,branch_code_C06,branch_code,C06,1,D000126
top_category_C,top_category,C,branch_code_C07,branch_code,C07,1,D000039
top_category_C,top_category,C,branch_code_C08,branch_code,C08,2,"D000039,D000142"
top_category_C,top_category,C,branch_code_C09,branch_code,C09,2,"D000039,D000160"
top_category_C,top_category,C,branch_code_C10,branch_code,C10,4,"D000160,D000170,D000172,D000270"
top_category_C,top_category,C,branch_code_C11,branch_code,C11,1,D000270
top_category_C,top_category,C,branch_code_C12,branch_code,C12,13,"D000022,D000026,D000027,D000030,D000031,D000033,D000034,D000037,D000141,D000163,D000291,D000292,D000312"
top_category_C,top_category,C,branch_code_C14,branch_code,C14,1,D000219
top_category_C,top_category,C,branch_code_C16,branch_code,C16,10,"D000012,D000013,D000014,D000015,D000016,D000130,D000141,D000168,D000169,D000312"
top_category_C,top_category,C,branch_code_C17,branch_code,C17,7,"D000051,D000052,D000152,D000153,D000169,D000197,D000274"
top_category_C,top_category,C,branch_code_C18,branch_code,C18,9,"D000012,D000126,D000137,D000138,D000140,D000141,D000142,D000274,D000312"
top_category_C,top_category,C,branch_code_C19,branch_code,C19,9,"D000172,D000224,D000303,D000306,D000307,D000308,D000309,D000310,D000312"
top_category_C,top_category,C,branch_code_C20,branch_code,C20,2,"D000163,D000224"
top_category_C,top_category,C,branch_code_C22,branch_code,C22,2,"D000034,D000187"
top_category_C,top_category,C,branch_code_C23,branch_code,C23,7,"D000006,D000038,D000051,D000208,D000210,D000219,D000267"
top_category_C,top_category,C,branch_code_C25,branch_code,C25,1,D000170
top_category_C,top_category,C,branch_code_C26,branch_code,C26,2,"D000007,D000016"
top_category_C,top_category,C,branch_code_G01,branch_code,G01,1,D000016
top_category_C,top_category,C,branch_code_G08,branch_code,G08,1,D000022
top_category_C,top_category,C,branch_code_N06,branch_code,N06,1,D000016
top_category_C,top_category,C,subbranch_code_A10.165,subbranch_code,A10.165,1,D000153
top_category_C,top_category,C,subbranch_code_C01.150,subbranch_code,C01.150,6,"D000151,D000187,D000189,D000193,D000196,D000197"
top_category_C,top_category,C,subbranch_code_C01.221,subbranch_code,C01.221,1,D000163
