descriptor_ui,replication_count,nodes
D000001,5,"node_1,node_10,node_3,node_7,node_9"
D000002,3,"node_1,node_5,node_9"
D000003,5,"node_10,node_2,node_7,node_8,node_9"
D000004,3,"node_1,node_3,node_5"
D000005,3,"node_1,node_5,node_8"
D000006,3,"node_1,node_10,node_8"
D000007,3,"node_10,node_3,node_8"
D000008,3,"node_3,node_5,node_8"
D000009,3,"node_1,node_5,node_8"
D000010,3,"node_2,node_3,node_8"
D000011,3,"node_1,node_5,node_7"
D000012,3,"node_3,node_5,node_8"
D000013,3,"node_1,node_5,node_8"
D000014,3,"node_1,node_5,node_8"
D000015,3,"node_1,node_5,node_8"
D000016,8,"node_1,node_10,node_2,node_3,node_5,node_7,node_8,node_9"
D000017,3,"node_10,node_3,node_9"
D000018,3,"node_1,node_5,node_8"
D000019,3,"node_2,node_7,node_9"
D000020,3,"node_2,node_7,node_9"
D000021,3,"node_2,node_7,node_9"
D000022,5,"node_1,node_10,node_5,node_7,node_8"
D000023,3,"node_10,node_2,node_7"
D000024,3,"node_2,node_3,node_5"
D000025,3,"node_3,node_5,node_8"
D000026,3,"node_10,node_5,node_8"
D000027,3,"node_10,node_5,node_8"
D000028,3,"node_3,node_5,node_8"
D000029,3,"node_3,node_5,node_8"
D000030,3,"node_10,node_5,node_8"
D000031,5,"node_10,node_3,node_5,node_8,node_9"
D000032,3,"node_3,node_5,node_8"
D000033,3,"node_10,node_5,node_8"
D000034,4,"node_1,node_10,node_5,node_8"
D000035,3,"node_1,node_3,node_7"
D000036,5,"node_1,node_10,node_2,node_3,node_9"
D000037,3,"node_10,node_5,node_8"
D000038,5,"node_10,node_2,node_5,node_8,node_9"
D000039,7,"node_1,node_10,node_2,node_5,node_7,node_8,node_9"
D000040,4,"node_1,node_3,node_7,node_9"
D000041,3,"node_1,node_2,node_7"
D000042,7,"node_1,node_10,node_2,node_3,node_7,node_8,node_9"
D000043,3,"node_1,node_3,node_5"
D000044,5,"node_1,node_2,node_5,node_7,node_8"
D000045,3,"node_10,node_5,node_7"
D000046,3,"node_2,node_3,node_8"
D000047,3,"node_3,node_7,node_8"
D000048,3,"node_10,node_5,node_7"
D000049,3,"node_10,node_2,node_5"
D000050,6,"node_10,node_2,node_3,node_5,node_7,node_8"
D000051,4,"node_10,node_2,node_5,node_8"
D000052,3,"node_10,node_2,node_8"
D000053,3,"node_10,node_2,node_5"
D000054,3,"node_1,node_7,node_9"
D000055,3,"node_2,node_3,node_8"
D000056,3,"node_10,node_2,node_8"
D000057,3,"node_10,node_3,node_7"
D000058,3,"node_10,node_2,node_8"
D000059,3,"node_10,node_2,node_8"
D000060,3,"node_10,node_2,node_8"
D000061,3,"node_10,node_2,node_8"
D000062,3,"node_10,node_2,node_8"
D000063,3,"node_10,node_2,node_8"
D000064,4,"node_3,node_5,node_7,node_8"
D000065,3,"node_7,node_8,node_9"
D000066,3,"node_10,node_3,node_8"
D000067,3,"node_10,node_3,node_8"
D000068,4,"node_2,node_3,node_5,node_8"
D000069,4,"node_1,node_10,node_2,node_5"
D000070,3,"node_1,node_7,node_9"
D000072,3,"node_1,node_5,node_9"
D000073,4,"node_1,node_3,node_5,node_9"
D000074,4,"node_2,node_3,node_7,node_9"
