metric,value
used_nodes,8
global_unique_items,300
total_node_item_copies,1098
item_redundancy_factor,3.66
total_fragment_memberships,1192
min_items_per_node,131
max_items_per_node,144
avg_items_per_node,137.25
item_load_imbalance,13
total_overlap_pairs,813
same_node_overlap_pairs,0
different_node_overlap_pairs,813
same_node_overlap_ratio,0.0
weighted_total_overlap,1762
weighted_same_node_overlap,0
weighted_same_node_overlap_ratio,0.0
minimum_fragment_memberships_per_node,146
maximum_fragment_memberships_per_node,150
average_fragment_memberships,149.0
fragment_membership_load_difference,4
items_count_below_replication,0
items_count_equal_replication,0
items_count_above_replication,300
minimum_item_replication,3
maximum_item_replication,8
average_item_replication,3.66
maximum_replication_deficit,0
total_replication_deficit,0
all_items_meet_replication,True
