metric,value
used_nodes,3
global_unique_items,56341
total_node_item_copies,169023
item_redundancy_factor,3.0
total_fragment_memberships,169023
min_items_per_node,56341
max_items_per_node,56341
avg_items_per_node,56341.0
item_load_imbalance,0
total_overlap_pairs,640
same_node_overlap_pairs,0
different_node_overlap_pairs,640
same_node_overlap_ratio,0.0
weighted_total_overlap,169023
weighted_same_node_overlap,0
weighted_same_node_overlap_ratio,0.0
minimum_fragment_memberships_per_node,56341
maximum_fragment_memberships_per_node,56341
average_fragment_memberships,56341.0
fragment_membership_load_difference,0
items_count_below_replication,0
items_count_equal_replication,56341
items_count_above_replication,0
minimum_item_replication,3
maximum_item_replication,3
average_item_replication,3.0
maximum_replication_deficit,0
total_replication_deficit,0
all_items_meet_replication,True
