title_id,replication_count,nodes
tt2262978,3,"node_10,node_2,node_6"
tt43587450,3,"node_10,node_4,node_9"
tt2176244,2,"node_3,node_4"
tt21970356,3,"node_4,node_6,node_7"
tt4531376,3,"node_1,node_3,node_6"
tt2355033,2,"node_3,node_6"
tt10534470,3,"node_3,node_7,node_9"
tt4756556,2,"node_5,node_6"
tt13227504,3,"node_4,node_5,node_6"
tt14168248,3,"node_1,node_10,node_6"
tt14931328,3,"node_4,node_5,node_6"
tt9585806,3,"node_2,node_4,node_6"
tt8000168,3,"node_3,node_4,node_6"
tt9026012,3,"node_3,node_4,node_6"
tt7939700,2,"node_3,node_4"
tt11052452,3,"node_10,node_4,node_6"
tt13005266,2,"node_4,node_6"
tt10330208,3,"node_2,node_4,node_6"
tt21322058,3,"node_3,node_4,node_6"
tt9602390,3,"node_1,node_4,node_6"
tt34843069,2,"node_4,node_6"
tt0461509,2,"node_4,node_8"
tt8313050,3,"node_4,node_6,node_9"
tt9389980,3,"node_4,node_5,node_7"
tt8109712,3,"node_2,node_4,node_6"
tt3188624,3,"node_1,node_3,node_6"
tt4188074,3,"node_3,node_5,node_7"
tt5052504,3,"node_1,node_3,node_6"
tt17663818,2,"node_4,node_6"
tt5818160,2,"node_3,node_6"
tt11087600,3,"node_4,node_5,node_6"
tt1720664,3,"node_3,node_4,node_6"
tt35403082,1,node_4
tt20202850,3,"node_4,node_6,node_7"
tt43657131,2,"node_10,node_6"
tt2321014,2,"node_3,node_6"
tt14599090,3,"node_4,node_6,node_7"
tt37854751,2,"node_4,node_6"
tt4814794,3,"node_1,node_3,node_6"
tt28266836,2,"node_4,node_6"
tt29605506,2,"node_4,node_6"
tt5955550,3,"node_1,node_2,node_9"
tt5000440,3,"node_3,node_6,node_9"
tt1696261,3,"node_1,node_3,node_6"
tt0835825,3,"node_3,node_5,node_9"
tt14207222,3,"node_10,node_5,node_6"
tt22465226,2,"node_4,node_6"
tt12473324,3,"node_3,node_4,node_8"
tt3982704,3,"node_10,node_6,node_8"
tt9916534,3,"node_2,node_6,node_9"
tt5122138,2,"node_3,node_6"
tt27621234,3,"node_3,node_4,node_6"
tt37274613,3,"node_3,node_6,node_8"
tt40189678,3,"node_1,node_4,node_7"
tt11011656,3,"node_2,node_3,node_6"
tt27245378,3,"node_2,node_4,node_6"
tt8901312,3,"node_3,node_6,node_9"
tt28961066,3,"node_4,node_5,node_6"
tt12522924,3,"node_1,node_4,node_6"
tt1928174,2,"node_2,node_7"
tt1948049,2,"node_3,node_4"
tt1874575,3,"node_2,node_3,node_6"
tt0478325,3,"node_2,node_3,node_4"
tt3850586,3,"node_3,node_4,node_6"
tt3079280,3,"node_2,node_3,node_7"
tt0991780,2,"node_2,node_6"
tt12536794,3,"node_4,node_5,node_7"
tt34678058,2,"node_1,node_4"
tt1882035,2,"node_3,node_5"
tt7253406,2,"node_1,node_6"
tt33095396,3,"node_1,node_3,node_8"
tt8980280,3,"node_1,node_2,node_6"
tt9225708,2,"node_3,node_6"
tt5019982,3,"node_3,node_6,node_9"
tt28769787,3,"node_1,node_4,node_9"
tt9528806,3,"node_1,node_2,node_6"
tt28309703,2,"node_4,node_6"
tt0473997,3,"node_1,node_4,node_5"
tt1749814,2,"node_3,node_6"
tt10308342,2,"node_3,node_6"
tt8120056,3,"node_10,node_3,node_6"
tt32992598,3,"node_2,node_4,node_8"
tt32868270,3,"node_1,node_6,node_9"
tt15613488,3,"node_1,node_4,node_5"
tt1229048,3,"node_4,node_6,node_8"
tt11699810,3,"node_1,node_3,node_6"
tt31728109,3,"node_1,node_6,node_8"
tt39058284,3,"node_1,node_3,node_6"
tt4476894,3,"node_6,node_7,node_8"
tt14585172,3,"node_4,node_5,node_6"
tt24069432,2,"node_4,node_5"
tt6860474,2,"node_3,node_6"
tt2207356,2,"node_3,node_6"
tt27997023,3,"node_3,node_4,node_6"
tt35511778,3,"node_4,node_5,node_6"
tt1038396,3,"node_2,node_4,node_6"
tt0468566,3,"node_1,node_4,node_5"
tt0330656,3,"node_4,node_8,node_9"
tt0939815,3,"node_3,node_4,node_9"
tt6271014,3,"node_1,node_3,node_6"
tt37435036,3,"node_3,node_4,node_6"
tt11197698,3,"node_2,node_6,node_8"
tt30261363,3,"node_1,node_2,node_6"
tt16269512,3,"node_3,node_4,node_6"
tt38082014,3,"node_4,node_6,node_7"
tt33091334,3,"node_2,node_3,node_5"
tt8446068,3,"node_1,node_4,node_6"
tt13199472,3,"node_3,node_4,node_6"
tt30701562,3,"node_1,node_3,node_6"
tt11813798,3,"node_1,node_4,node_8"
tt14947408,3,"node_1,node_4,node_5"
tt3746602,3,"node_3,node_4,node_5"
tt13990804,3,"node_1,node_5,node_6"
tt1357317,3,"node_1,node_2,node_6"
tt36122641,2,"node_4,node_6"
tt35349379,3,"node_4,node_6,node_9"
tt22743228,2,"node_4,node_6"
tt9288376,3,"node_10,node_3,node_6"
tt14460130,3,"node_10,node_6,node_9"
tt14062152,3,"node_3,node_6,node_9"
tt2122661,2,"node_3,node_6"
tt18560590,3,"node_4,node_6,node_7"
tt18483732,2,"node_1,node_4"
tt10455968,3,"node_4,node_6,node_7"
tt12654832,3,"node_1,node_3,node_6"
tt1336216,3,"node_2,node_3,node_6"
tt3382462,2,"node_1,node_6"
tt1765536,3,"node_1,node_3,node_6"
tt1180941,3,"node_2,node_6,node_9"
tt16769468,3,"node_3,node_4,node_6"
tt1169280,3,"node_1,node_4,node_6"
tt37806484,3,"node_2,node_4,node_6"
tt6598384,3,"node_1,node_3,node_6"
tt36365828,3,"node_4,node_6,node_7"
tt12109124,2,"node_4,node_5"
tt5162048,3,"node_1,node_10,node_6"
tt33339895,3,"node_5,node_6,node_9"
tt1059195,3,"node_4,node_8,node_9"
tt29870392,3,"node_4,node_6,node_9"
tt12814558,2,"node_10,node_6"
tt4733748,2,"node_3,node_5"
tt10622132,3,"node_1,node_3,node_5"
tt3581276,3,"node_3,node_4,node_6"
tt9441802,3,"node_2,node_5,node_7"
tt6789616,2,"node_3,node_6"
tt10350524,3,"node_2,node_3,node_5"
tt2324505,2,"node_1,node_6"
tt8349254,2,"node_1,node_6"
tt8358576,3,"node_1,node_3,node_6"
tt1785379,3,"node_2,node_5,node_9"
tt24132204,3,"node_3,node_4,node_6"
tt21920306,3,"node_1,node_4,node_6"
tt6957338,3,"node_3,node_6,node_9"
tt19692508,3,"node_2,node_5,node_6"
tt10559972,3,"node_3,node_4,node_6"
tt20753492,3,"node_3,node_4,node_6"
tt0841914,3,"node_1,node_5,node_6"
tt9749118,2,"node_3,node_6"
tt11901658,2,"node_5,node_6"
tt4418962,3,"node_1,node_2,node_3"
tt28694994,3,"node_1,node_5,node_6"
tt0192830,3,"node_10,node_2,node_7"
tt14272994,2,"node_4,node_6"
tt5996908,3,"node_3,node_6,node_7"
tt8828682,3,"node_1,node_6,node_9"
tt0363982,3,"node_1,node_3,node_8"
tt33540027,3,"node_4,node_5,node_7"
tt35103291,3,"node_4,node_6,node_7"
tt15241630,3,"node_4,node_5,node_9"
tt8375278,3,"node_2,node_6,node_9"
tt26750610,3,"node_3,node_4,node_6"
tt2309553,3,"node_3,node_4,node_6"
tt3637064,3,"node_2,node_6,node_7"
tt21372686,3,"node_3,node_6,node_9"
tt12741462,3,"node_3,node_4,node_6"
tt13192110,3,"node_4,node_5,node_6"
tt3096398,3,"node_3,node_4,node_6"
tt12112964,3,"node_1,node_3,node_6"
tt1688054,2,"node_3,node_6"
tt3159718,3,"node_3,node_6,node_7"
tt4396704,3,"node_3,node_6,node_9"
tt8814306,3,"node_2,node_6,node_7"
tt33685309,3,"node_4,node_6,node_8"
tt43553499,3,"node_3,node_6,node_9"
tt12622740,3,"node_2,node_4,node_6"
tt2449982,3,"node_1,node_3,node_6"
tt36958235,2,"node_4,node_6"
tt21331104,3,"node_4,node_6,node_7"
tt7171426,3,"node_10,node_2,node_3"
tt2274758,3,"node_3,node_4,node_6"
tt20521688,3,"node_2,node_4,node_6"
tt12346182,2,"node_10,node_6"
tt28131191,3,"node_5,node_6,node_9"
tt35598098,3,"node_6,node_8,node_9"
tt13991318,2,"node_4,node_6"
tt8304180,3,"node_2,node_6,node_8"
tt10843234,3,"node_3,node_4,node_6"
tt6033740,3,"node_3,node_5,node_9"
tt21652660,3,"node_3,node_6,node_7"
tt11089548,3,"node_3,node_5,node_6"
tt2866126,3,"node_1,node_3,node_6"
tt3763422,2,"node_3,node_5"
tt7185706,3,"node_1,node_2,node_6"
tt0096544,3,"node_1,node_10,node_9"
tt0416754,3,"node_1,node_5,node_8"
tt5600182,3,"node_4,node_6,node_8"
tt14501000,3,"node_3,node_4,node_6"
tt8812514,3,"node_1,node_6,node_8"
tt9623468,3,"node_3,node_4,node_6"
tt33297077,3,"node_6,node_7,node_8"
tt13735464,3,"node_1,node_8,node_9"
tt7347144,3,"node_4,node_5,node_6"
tt5848168,3,"node_3,node_5,node_7"
tt18480910,3,"node_1,node_4,node_6"
tt11052000,3,"node_3,node_4,node_6"
tt37125536,2,"node_4,node_6"
tt10350834,3,"node_1,node_3,node_6"
tt8442222,3,"node_3,node_4,node_6"
tt21611020,3,"node_2,node_6,node_7"
tt38430714,2,"node_4,node_6"
tt33086648,2,"node_4,node_6"
tt27752662,3,"node_3,node_6,node_7"
tt35305519,3,"node_3,node_4,node_6"
tt39366650,3,"node_4,node_6,node_9"
tt1473418,2,"node_2,node_3"
tt11133626,3,"node_3,node_4,node_6"
tt8204422,3,"node_10,node_4,node_6"
tt10934118,3,"node_3,node_5,node_9"
tt7223312,2,"node_3,node_6"
tt27672104,3,"node_10,node_3,node_6"
tt6340024,2,"node_5,node_6"
tt19866416,3,"node_3,node_5,node_6"
tt7001082,3,"node_3,node_4,node_5"
tt0987050,2,"node_2,node_6"
tt29194405,3,"node_4,node_6,node_7"
tt32252982,3,"node_4,node_6,node_8"
tt11752918,3,"node_3,node_6,node_8"
tt33184098,3,"node_1,node_3,node_8"
tt2331547,3,"node_2,node_4,node_9"
tt0305843,3,"node_1,node_3,node_4"
tt4559908,2,"node_3,node_4"
tt29553139,3,"node_3,node_4,node_5"
tt32647817,3,"node_4,node_5,node_6"
tt16359434,3,"node_3,node_4,node_6"
tt15112376,3,"node_4,node_5,node_6"
tt0578338,3,"node_1,node_2,node_6"
tt12419490,3,"node_1,node_5,node_6"
tt9437834,3,"node_3,node_4,node_6"
tt7283410,3,"node_3,node_6,node_7"
tt30858248,2,"node_4,node_6"
tt34385789,3,"node_3,node_4,node_6"
tt1837221,3,"node_2,node_5,node_6"
tt1267390,3,"node_2,node_5,node_9"
tt28100187,3,"node_2,node_6,node_7"
tt1360708,3,"node_2,node_6,node_9"
tt0025681,3,"node_4,node_5,node_8"
tt16764330,3,"node_2,node_3,node_8"
tt16739392,3,"node_5,node_6,node_9"
tt15894170,3,"node_4,node_5,node_7"
tt0495176,3,"node_2,node_3,node_4"
tt9216924,3,"node_3,node_4,node_6"
tt21043790,2,"node_4,node_6"
tt18068564,3,"node_2,node_4,node_6"
tt36219669,3,"node_4,node_5,node_6"
tt13901316,3,"node_4,node_5,node_6"
tt30691725,3,"node_10,node_3,node_6"
tt6530848,3,"node_1,node_2,node_3"
tt13072884,3,"node_4,node_6,node_9"
tt42890945,3,"node_10,node_4,node_6"
tt16073634,3,"node_3,node_6,node_7"
tt11321098,3,"node_4,node_5,node_6"
tt2488288,3,"node_2,node_5,node_7"
tt13726744,2,"node_5,node_6"
tt3578160,3,"node_3,node_4,node_6"
tt13679242,3,"node_3,node_5,node_6"
tt2366360,3,"node_3,node_6,node_8"
tt7366466,2,"node_3,node_6"
tt1900602,3,"node_1,node_3,node_6"
tt13702212,2,"node_4,node_6"
tt1986363,3,"node_3,node_4,node_6"
tt9294492,3,"node_10,node_4,node_6"
tt26545433,3,"node_1,node_4,node_6"
tt7337856,3,"node_3,node_4,node_6"
tt7662966,3,"node_1,node_2,node_6"
tt0211876,3,"node_1,node_4,node_9"
tt12469964,3,"node_4,node_5,node_6"
tt1894605,3,"node_3,node_5,node_6"
tt14833194,3,"node_2,node_3,node_6"
tt16967610,3,"node_4,node_6,node_9"
tt37317683,3,"node_4,node_5,node_6"
tt15828328,2,"node_5,node_6"
tt1719281,2,"node_1,node_6"
tt33378616,3,"node_2,node_6,node_7"
tt27696078,3,"node_2,node_4,node_6"
tt3159596,3,"node_3,node_6,node_7"
tt9818732,3,"node_2,node_4,node_6"
tt15485854,3,"node_1,node_4,node_6"
tt32777750,2,"node_4,node_6"
tt21340732,3,"node_2,node_6,node_7"
tt0800111,3,"node_10,node_2,node_9"
tt15666662,3,"node_1,node_3,node_6"
tt3404624,3,"node_4,node_5,node_6"
tt7974434,2,"node_3,node_6"
tt1057411,3,"node_1,node_2,node_6"
tt1616031,3,"node_2,node_3,node_9"
tt33889364,3,"node_4,node_5,node_6"
tt9785652,3,"node_1,node_3,node_6"
tt37053002,2,"node_4,node_6"
tt11376048,3,"node_1,node_2,node_6"
tt8761154,3,"node_3,node_6,node_7"
tt4337944,3,"node_3,node_4,node_9"
tt12502192,3,"node_1,node_6,node_9"
tt6616286,2,"node_3,node_4"
tt14298784,3,"node_4,node_6,node_8"
tt38895638,2,"node_4,node_6"
tt38933306,3,"node_3,node_4,node_6"
tt1215235,3,"node_4,node_6,node_9"
tt3073100,2,"node_3,node_6"
tt3253564,3,"node_3,node_4,node_6"
tt6638250,2,"node_3,node_6"
tt13096386,3,"node_10,node_5,node_6"
tt0284570,3,"node_1,node_2,node_6"
tt10757342,3,"node_1,node_3,node_5"
tt4758632,3,"node_2,node_4,node_6"
tt13285384,3,"node_5,node_6,node_9"
tt0181509,3,"node_10,node_4,node_7"
tt15966278,2,"node_3,node_6"
tt14511414,3,"node_4,node_5,node_6"
tt8722406,3,"node_3,node_6,node_9"
tt2108957,3,"node_1,node_3,node_6"
tt0623182,3,"node_6,node_8,node_9"
tt21189290,3,"node_4,node_5,node_6"
tt8083928,3,"node_1,node_3,node_6"
tt9148506,3,"node_3,node_4,node_6"
tt22041026,3,"node_4,node_5,node_6"
tt9467080,3,"node_2,node_4,node_6"
tt5775882,3,"node_1,node_3,node_5"
tt6657146,3,"node_5,node_6,node_8"
tt7823014,2,"node_3,node_6"
tt4331006,3,"node_4,node_6,node_8"
tt1791599,3,"node_3,node_5,node_8"
tt7302380,3,"node_2,node_4,node_6"
tt11235666,3,"node_1,node_4,node_5"
tt34623190,3,"node_1,node_4,node_6"
tt12237886,3,"node_1,node_2,node_6"
tt4309962,3,"node_1,node_3,node_6"
tt34519419,3,"node_1,node_3,node_6"
tt14887224,3,"node_10,node_2,node_6"
tt5502190,2,"node_3,node_6"
tt2246623,3,"node_2,node_3,node_4"
tt8088894,3,"node_3,node_6,node_9"
tt32133178,2,"node_6,node_9"
tt3874760,3,"node_3,node_4,node_5"
tt1616255,3,"node_10,node_6,node_7"
tt22399118,3,"node_1,node_4,node_6"
tt0105382,3,"node_1,node_4,node_6"
tt13007430,3,"node_4,node_6,node_9"
tt0346988,3,"node_4,node_5,node_7"
tt1681146,3,"node_1,node_10,node_6"
tt0368831,3,"node_1,node_10,node_4"
tt37072050,3,"node_1,node_4,node_6"
tt1187106,3,"node_2,node_6,node_7"
tt31646979,3,"node_3,node_6,node_9"
tt10626842,3,"node_3,node_6,node_9"
tt2337820,2,"node_3,node_5"
tt5141884,3,"node_3,node_4,node_6"
tt11665802,3,"node_1,node_3,node_6"
tt11977284,3,"node_3,node_6,node_9"
tt0521530,3,"node_1,node_10,node_6"
tt32307030,3,"node_10,node_2,node_6"
tt39737157,3,"node_2,node_3,node_6"
tt1638156,3,"node_3,node_6,node_9"
tt8214802,3,"node_2,node_3,node_6"
tt1540972,2,"node_2,node_7"
tt14294430,3,"node_3,node_4,node_6"
tt38384468,3,"node_3,node_6,node_9"
tt10468342,2,"node_3,node_6"
tt14572778,3,"node_2,node_4,node_6"
tt5869016,3,"node_3,node_6,node_9"
tt13392210,3,"node_3,node_4,node_6"
tt24639014,2,"node_1,node_6"
tt13034436,3,"node_4,node_5,node_6"
tt12496212,3,"node_1,node_3,node_6"
tt39219637,3,"node_4,node_6,node_8"
tt1916653,3,"node_2,node_3,node_9"
tt37505935,3,"node_4,node_6,node_7"
tt33841305,3,"node_1,node_4,node_6"
tt38971202,3,"node_2,node_4,node_6"
tt35397598,3,"node_3,node_4,node_6"
tt27722399,2,"node_1,node_4"
tt0138542,3,"node_10,node_4,node_8"
tt0934043,3,"node_1,node_4,node_6"
tt1467101,2,"node_10,node_7"
tt6234518,3,"node_1,node_4,node_6"
tt3246790,3,"node_1,node_3,node_6"
tt1419207,3,"node_10,node_6,node_7"
tt5766450,3,"node_1,node_3,node_5"
tt10668178,3,"node_2,node_4,node_6"
tt11756306,3,"node_3,node_5,node_6"
tt1409789,2,"node_2,node_7"
tt38954668,3,"node_2,node_4,node_6"
tt10365110,3,"node_2,node_4,node_6"
tt15185744,3,"node_3,node_6,node_7"
tt33022777,1,node_4
tt4580354,2,"node_3,node_6"
tt34824166,3,"node_4,node_5,node_6"
tt0510494,3,"node_2,node_4,node_6"
tt35528130,2,"node_4,node_6"
tt0408854,3,"node_3,node_8,node_9"
tt12150486,2,"node_5,node_8"
tt15527190,3,"node_4,node_6,node_9"
tt5454236,3,"node_3,node_4,node_6"
tt6856780,3,"node_2,node_4,node_6"
tt29398261,2,"node_4,node_6"
tt31709955,3,"node_1,node_4,node_5"
tt14303120,3,"node_3,node_5,node_9"
tt27125981,3,"node_4,node_6,node_9"
tt2222217,3,"node_1,node_2,node_6"
tt6916082,3,"node_1,node_3,node_6"
tt2034624,3,"node_1,node_4,node_8"
tt10213600,2,"node_3,node_6"
tt7729530,3,"node_1,node_6,node_8"
tt0812282,3,"node_1,node_3,node_5"
tt3938880,3,"node_3,node_5,node_6"
tt26543937,2,"node_3,node_4"
tt32603120,2,"node_4,node_6"
