metric,value
used_nodes,10
global_unique_items,56341
total_node_item_copies,155912
item_redundancy_factor,2.767292025345663
total_fragment_memberships,169023
min_items_per_node,3985
max_items_per_node,44500
avg_items_per_node,15591.2
item_load_imbalance,40515
total_overlap_pairs,640
same_node_overlap_pairs,64
different_node_overlap_pairs,576
same_node_overlap_ratio,0.1
weighted_total_overlap,169023
weighted_same_node_overlap,13285
weighted_same_node_overlap_ratio,0.0785987705815185
minimum_fragment_memberships_per_node,4075
maximum_fragment_memberships_per_node,46532
average_fragment_memberships,16902.3
fragment_membership_load_difference,42457
items_count_below_replication,12937
items_count_equal_replication,43404
items_count_above_replication,0
minimum_item_replication,1
maximum_item_replication,3
average_item_replication,2.767292025345663
maximum_replication_deficit,2
total_replication_deficit,13111
all_items_meet_replication,False
