descriptor_ui,replication_count,nodes
D000001,5,"node_1,node_2,node_6,node_7,node_8"
D000002,4,"node_1,node_2,node_5,node_8"
D000003,3,"node_2,node_5,node_8"
D000004,3,"node_1,node_2,node_8"
D000005,3,"node_1,node_10,node_7"
D000006,3,"node_1,node_6,node_8"
D000007,3,"node_1,node_10,node_5"
D000008,3,"node_1,node_10,node_6"
D000009,3,"node_1,node_2,node_5"
D000010,3,"node_1,node_5,node_6"
D000011,3,"node_10,node_2,node_6"
D000012,3,"node_1,node_10,node_6"
D000013,3,"node_1,node_10,node_5"
D000014,3,"node_1,node_10,node_5"
D000015,3,"node_1,node_10,node_5"
D000016,6,"node_1,node_10,node_5,node_6,node_7,node_8"
D000017,3,"node_2,node_6,node_7"
D000018,3,"node_1,node_10,node_7"
D000019,3,"node_2,node_6,node_7"
D000020,3,"node_2,node_6,node_7"
D000021,3,"node_2,node_6,node_7"
D000022,4,"node_1,node_5,node_7,node_8"
D000023,3,"node_2,node_7,node_8"
D000024,3,"node_1,node_10,node_5"
D000025,3,"node_1,node_10,node_6"
D000026,3,"node_1,node_7,node_8"
D000027,3,"node_1,node_7,node_8"
D000028,3,"node_1,node_10,node_6"
D000029,3,"node_1,node_10,node_6"
D000030,3,"node_1,node_7,node_8"
D000031,5,"node_1,node_10,node_2,node_7,node_8"
D000032,3,"node_1,node_10,node_6"
D000033,3,"node_1,node_7,node_8"
D000034,5,"node_1,node_10,node_2,node_7,node_8"
D000035,3,"node_1,node_10,node_2"
D000036,4,"node_2,node_5,node_6,node_7"
D000037,3,"node_1,node_7,node_8"
D000038,5,"node_1,node_10,node_2,node_5,node_8"
D000039,7,"node_1,node_10,node_2,node_5,node_6,node_7,node_8"
D000040,4,"node_10,node_2,node_7,node_8"
D000041,3,"node_1,node_10,node_5"
D000042,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000043,3,"node_1,node_5,node_8"
D000044,4,"node_1,node_10,node_5,node_8"
D000045,3,"node_1,node_10,node_6"
D000046,3,"node_6,node_7,node_8"
D000047,3,"node_10,node_5,node_7"
D000048,3,"node_1,node_10,node_6"
D000049,3,"node_10,node_5,node_6"
D000050,4,"node_1,node_2,node_5,node_8"
D000051,3,"node_1,node_2,node_8"
D000052,3,"node_1,node_2,node_8"
D000053,3,"node_10,node_5,node_6"
D000054,3,"node_1,node_10,node_8"
D000055,3,"node_1,node_5,node_6"
D000056,3,"node_5,node_7,node_8"
D000057,3,"node_1,node_5,node_8"
D000058,3,"node_5,node_7,node_8"
D000059,3,"node_5,node_7,node_8"
D000060,3,"node_5,node_7,node_8"
D000061,3,"node_5,node_7,node_8"
D000062,3,"node_5,node_7,node_8"
D000063,3,"node_5,node_7,node_8"
D000064,4,"node_1,node_5,node_7,node_8"
D000065,3,"node_1,node_2,node_8"
D000066,3,"node_10,node_6,node_7"
D000067,3,"node_10,node_6,node_7"
D000068,4,"node_10,node_5,node_7,node_8"
D000069,3,"node_1,node_10,node_5"
D000070,3,"node_2,node_5,node_8"
D000072,3,"node_1,node_2,node_8"
D000073,5,"node_1,node_10,node_2,node_6,node_8"
D000074,4,"node_1,node_10,node_2,node_8"
D000075,3,"node_1,node_2,node_8"
D000076,3,"node_1,node_10,node_6"
D000077,3,"node_1,node_2,node_5"
D000079,3,"node_10,node_2,node_8"
D000080,3,"node_2,node_7,node_8"
D000081,3,"node_2,node_7,node_8"
D000082,4,"node_2,node_5,node_7,node_8"
D000083,4,"node_2,node_5,node_7,node_8"
D000084,3,"node_2,node_5,node_7"
D000085,5,"node_10,node_2,node_6,node_7,node_8"
D000086,4,"node_1,node_10,node_2,node_8"
D000089,4,"node_10,node_2,node_7,node_8"
D000090,3,"node_2,node_7,node_8"
D000091,4,"node_10,node_2,node_6,node_7"
D000092,5,"node_1,node_10,node_2,node_7,node_8"
D000093,3,"node_2,node_7,node_8"
D000094,3,"node_2,node_5,node_7"
D000095,4,"node_2,node_5,node_6,node_7"
D000096,3,"node_2,node_7,node_8"
D000097,3,"node_10,node_2,node_8"
D000098,3,"node_2,node_7,node_8"
D000099,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000100,4,"node_10,node_2,node_7,node_8"
D000101,3,"node_2,node_5,node_7"
D000102,3,"node_2,node_5,node_7"
D000103,3,"node_2,node_5,node_7"
D000104,3,"node_2,node_5,node_7"
D000105,7,"node_1,node_10,node_2,node_5,node_6,node_7,node_8"
D000106,3,"node_2,node_5,node_7"
D000107,5,"node_1,node_5,node_6,node_7,node_8"
D000108,3,"node_2,node_5,node_8"
D000109,3,"node_2,node_5,node_8"
D000110,3,"node_2,node_5,node_7"
D000111,5,"node_1,node_2,node_6,node_7,node_8"
D000112,5,"node_2,node_5,node_6,node_7,node_8"
D000113,5,"node_2,node_5,node_6,node_7,node_8"
D000114,3,"node_10,node_2,node_8"
D000115,3,"node_2,node_5,node_7"
D000116,3,"node_2,node_5,node_8"
D000117,3,"node_2,node_5,node_8"
D000118,3,"node_2,node_5,node_7"
D000119,6,"node_10,node_2,node_5,node_6,node_7,node_8"
D000120,4,"node_10,node_2,node_7,node_8"
D000121,3,"node_2,node_5,node_7"
D000122,4,"node_1,node_2,node_5,node_8"
D000123,3,"node_2,node_5,node_7"
D000124,5,"node_1,node_10,node_2,node_5,node_8"
D000125,3,"node_1,node_2,node_6"
D000126,4,"node_1,node_10,node_6,node_7"
D000127,3,"node_10,node_2,node_7"
D000128,3,"node_10,node_2,node_7"
D000129,3,"node_10,node_2,node_7"
D000130,4,"node_1,node_10,node_2,node_6"
D000134,3,"node_1,node_10,node_2"
D000135,3,"node_2,node_5,node_7"
D000136,6,"node_1,node_2,node_5,node_6,node_7,node_8"
D000137,3,"node_1,node_10,node_6"
D000138,3,"node_1,node_10,node_6"
D000140,3,"node_1,node_10,node_6"
D000141,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000142,3,"node_1,node_10,node_6"
D000143,3,"node_2,node_5,node_6"
D000144,3,"node_2,node_7,node_8"
D000145,3,"node_2,node_7,node_8"
D000146,3,"node_2,node_7,node_8"
D000147,3,"node_1,node_2,node_8"
D000148,3,"node_2,node_5,node_6"
D000149,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000150,4,"node_10,node_2,node_6,node_7"
D000151,3,"node_1,node_10,node_6"
D000152,3,"node_1,node_2,node_8"
D000153,5,"node_1,node_2,node_5,node_7,node_8"
D000154,3,"node_2,node_5,node_7"
D000156,3,"node_2,node_7,node_8"
D000157,4,"node_10,node_2,node_7,node_8"
D000158,3,"node_1,node_6,node_8"
D000159,3,"node_1,node_5,node_6"
D000160,4,"node_1,node_10,node_6,node_8"
D000161,4,"node_1,node_5,node_6,node_8"
D000162,3,"node_6,node_7,node_8"
D000163,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000164,3,"node_10,node_5,node_6"
D000165,3,"node_1,node_2,node_8"
D000166,3,"node_1,node_2,node_8"
D000167,3,"node_1,node_2,node_8"
D000168,4,"node_1,node_10,node_2,node_5"
D000169,5,"node_1,node_10,node_2,node_5,node_8"
D000170,5,"node_1,node_10,node_2,node_5,node_8"
D000171,3,"node_10,node_2,node_8"
D000172,6,"node_1,node_10,node_2,node_5,node_6,node_8"
D000173,3,"node_1,node_2,node_5"
D000174,3,"node_1,node_2,node_5"
D000175,4,"node_1,node_2,node_7,node_8"
D000176,3,"node_2,node_5,node_7"
D000177,4,"node_1,node_10,node_7,node_8"
D000178,3,"node_2,node_7,node_8"
D000179,3,"node_2,node_7,node_8"
D000180,5,"node_2,node_5,node_6,node_7,node_8"
D000181,3,"node_10,node_2,node_8"
D000182,3,"node_1,node_10,node_5"
D000183,3,"node_10,node_2,node_6"
D000184,3,"node_1,node_2,node_8"
D000185,3,"node_2,node_6,node_7"
D000186,4,"node_2,node_5,node_6,node_7"
D000187,3,"node_1,node_10,node_6"
D000188,4,"node_10,node_2,node_6,node_7"
D000189,3,"node_1,node_10,node_6"
D000190,3,"node_10,node_2,node_7"
D000191,3,"node_10,node_2,node_7"
D000192,3,"node_10,node_2,node_7"
D000193,3,"node_1,node_10,node_6"
D000196,3,"node_1,node_10,node_6"
D000197,6,"node_1,node_10,node_2,node_6,node_7,node_8"
D000198,5,"node_1,node_10,node_2,node_5,node_8"
D000199,3,"node_2,node_6,node_7"
D000200,5,"node_1,node_10,node_2,node_7,node_8"
