metric,value
used_nodes,7
global_unique_items,31108
total_node_item_copies,112357
item_redundancy_factor,3.6118361836183617
total_fragment_memberships,131780
min_items_per_node,14598
max_items_per_node,18426
avg_items_per_node,16051.0
item_load_imbalance,3828
total_overlap_pairs,11940
same_node_overlap_pairs,0
different_node_overlap_pairs,11940
same_node_overlap_ratio,0.0
weighted_total_overlap,208731
weighted_same_node_overlap,0
weighted_same_node_overlap_ratio,0.0
minimum_fragment_memberships_per_node,16967
maximum_fragment_memberships_per_node,19739
average_fragment_memberships,18825.714285714286
fragment_membership_load_difference,2772
items_count_below_replication,0
items_count_equal_replication,19400
items_count_above_replication,11708
minimum_item_replication,3
maximum_item_replication,7
average_item_replication,3.6118361836183617
maximum_replication_deficit,0
total_replication_deficit,0
all_items_meet_replication,True
