descriptor_ui,replication_count,nodes
D000001,6,"node_3,node_4,node_5,node_7,node_8,node_9"
D000002,3,"node_10,node_4,node_7"
D000003,4,"node_10,node_5,node_6,node_7"
D000004,2,"node_2,node_9"
D000005,3,"node_1,node_10,node_7"
D000006,2,"node_2,node_3"
D000007,3,"node_2,node_3,node_5"
D000008,3,"node_3,node_4,node_8"
D000009,3,"node_1,node_10,node_8"
D000010,3,"node_1,node_4,node_5"
D000011,4,"node_1,node_2,node_3,node_8"
D000012,5,"node_3,node_4,node_5,node_7,node_8"
D000013,3,"node_3,node_5,node_6"
D000014,3,"node_3,node_5,node_6"
D000015,3,"node_3,node_5,node_6"
D000016,6,"node_10,node_3,node_4,node_5,node_6,node_7"
D000017,2,"node_4,node_8"
D000018,3,"node_1,node_3,node_9"
D000019,3,"node_1,node_10,node_4"
D000020,3,"node_1,node_10,node_4"
D000021,3,"node_1,node_10,node_4"
D000022,6,"node_10,node_2,node_3,node_5,node_7,node_8"
D000023,3,"node_10,node_3,node_8"
D000024,3,"node_2,node_5,node_9"
D000025,2,"node_2,node_5"
D000026,3,"node_2,node_3,node_8"
D000027,3,"node_2,node_3,node_8"
D000028,2,"node_2,node_5"
D000029,2,"node_2,node_5"
D000030,3,"node_2,node_3,node_8"
D000031,4,"node_2,node_3,node_7,node_8"
D000032,2,"node_2,node_5"
D000033,3,"node_2,node_3,node_8"
D000034,5,"node_1,node_2,node_3,node_4,node_8"
D000035,3,"node_2,node_6,node_9"
D000036,4,"node_1,node_2,node_4,node_5"
D000037,3,"node_2,node_3,node_8"
D000038,3,"node_2,node_3,node_5"
D000039,7,"node_1,node_10,node_3,node_5,node_7,node_8,node_9"
D000040,4,"node_4,node_7,node_8,node_9"
D000041,3,"node_10,node_4,node_6"
D000042,8,"node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_9"
D000043,3,"node_2,node_8,node_9"
D000044,5,"node_10,node_4,node_5,node_7,node_8"
D000045,3,"node_2,node_4,node_8"
D000046,2,"node_2,node_4"
D000047,2,"node_3,node_4"
D000048,3,"node_2,node_7,node_8"
D000049,2,"node_2,node_8"
D000050,3,"node_1,node_2,node_7"
D000051,3,"node_2,node_3,node_6"
D000052,3,"node_2,node_3,node_6"
D000053,2,"node_2,node_8"
D000054,3,"node_3,node_5,node_7"
D000055,3,"node_1,node_4,node_5"
D000056,2,"node_4,node_6"
D000057,3,"node_1,node_6,node_9"
D000058,2,"node_4,node_6"
D000059,2,"node_4,node_6"
D000060,2,"node_4,node_6"
D000061,2,"node_4,node_6"
D000062,2,"node_4,node_6"
D000063,2,"node_4,node_6"
D000064,3,"node_7,node_8,node_9"
D000065,2,"node_6,node_7"
D000066,3,"node_2,node_3,node_4"
D000067,3,"node_2,node_3,node_4"
D000068,5,"node_2,node_3,node_4,node_5,node_6"
D000069,3,"node_2,node_4,node_9"
D000070,4,"node_10,node_4,node_6,node_7"
D000072,3,"node_10,node_4,node_7"
D000073,5,"node_4,node_5,node_7,node_8,node_9"
