fragment_1,fragment_2,overlap_size,node_1,node_2,same_node
top_category_A,branch_code_A01,97,node_1,node_7,False
top_category_A,branch_code_A02,226,node_1,node_8,False
top_category_A,branch_code_A03,76,node_1,node_9,False
top_category_A,branch_code_A04,46,node_1,node_10,False
top_category_A,branch_code_A05,83,node_1,node_1,True
top_category_A,branch_code_A06,57,node_1,node_2,False
top_category_A,branch_code_A07,135,node_1,node_3,False
top_category_A,branch_code_A08,404,node_1,node_4,False
top_category_A,branch_code_A09,116,node_1,node_5,False
top_category_A,branch_code_A10,182,node_1,node_6,False
top_category_A,branch_code_A11,606,node_1,node_7,False
top_category_A,branch_code_A12,70,node_1,node_8,False
top_category_A,branch_code_A13,68,node_1,node_9,False
top_category_A,branch_code_A14,81,node_1,node_10,False
top_category_A,branch_code_A15,109,node_1,node_1,True
top_category_A,branch_code_A16,69,node_1,node_2,False
top_category_A,branch_code_A17,17,node_1,node_3,False
top_category_A,branch_code_A18,41,node_1,node_4,False
top_category_A,branch_code_A19,10,node_1,node_5,False
top_category_A,branch_code_A20,14,node_1,node_6,False
top_category_A,branch_code_A21,7,node_1,node_7,False
top_category_A,branch_code_B01,3,node_1,node_8,False
top_category_A,branch_code_B03,1,node_1,node_10,False
top_category_A,branch_code_B05,11,node_1,node_2,False
top_category_A,branch_code_C04,2,node_1,node_4,False
top_category_A,branch_code_C06,2,node_1,node_6,False
top_category_A,branch_code_C07,3,node_1,node_7,False
top_category_A,branch_code_C12,1,node_1,node_2,False
top_category_A,branch_code_C16,1,node_1,node_5,False
top_category_A,branch_code_C17,2,node_1,node_6,False
top_category_A,branch_code_C23,13,node_1,node_2,False
top_category_A,branch_code_D05,3,node_1,node_10,False
top_category_A,branch_code_D08,1,node_1,node_2,False
top_category_A,branch_code_D09,1,node_1,node_3,False
top_category_A,branch_code_D12,13,node_1,node_5,False
top_category_A,branch_code_D20,3,node_1,node_7,False
top_category_A,branch_code_D23,1,node_1,node_8,False
top_category_A,branch_code_D25,1,node_1,node_9,False
top_category_A,branch_code_D27,1,node_1,node_1,True
top_category_A,branch_code_E01,2,node_1,node_2,False
top_category_A,branch_code_E05,1,node_1,node_6,False
top_category_A,branch_code_E07,11,node_1,node_8,False
top_category_A,branch_code_G03,1,node_1,node_5,False
top_category_A,branch_code_G04,1,node_1,node_6,False
top_category_A,branch_code_G05,68,node_1,node_7,False
top_category_A,branch_code_G06,4,node_1,node_8,False
top_category_A,branch_code_G07,18,node_1,node_9,False
top_category_A,branch_code_G16,1,node_1,node_8,False
top_category_A,branch_code_J01,2,node_1,node_5,False
top_category_A,branch_code_J02,13,node_1,node_6,False
top_category_A,subbranch_code_A01,1,node_1,node_2,False
top_category_A,subbranch_code_A01.111,1,node_1,node_3,False
top_category_A,subbranch_code_A01.236,3,node_1,node_4,False
top_category_A,subbranch_code_A01.378,26,node_1,node_5,False
top_category_A,subbranch_code_A01.456,24,node_1,node_6,False
top_category_A,subbranch_code_A01.598,3,node_1,node_7,False
top_category_A,subbranch_code_A01.635,1,node_1,node_8,False
top_category_A,subbranch_code_A01.719,1,node_1,node_9,False
top_category_A,subbranch_code_A01.923,28,node_1,node_10,False
top_category_A,subbranch_code_A01.935,1,node_1,node_1,True
top_category_A,subbranch_code_A01.941,8,node_1,node_2,False
top_category_A,subbranch_code_A01.947,1,node_1,node_3,False
top_category_A,subbranch_code_A01.960,1,node_1,node_4,False
top_category_A,subbranch_code_A02,1,node_1,node_5,False
top_category_A,subbranch_code_A02.083,1,node_1,node_6,False
top_category_A,subbranch_code_A02.165,21,node_1,node_7,False
top_category_A,subbranch_code_A02.340,3,node_1,node_8,False
top_category_A,subbranch_code_A02.513,17,node_1,node_9,False
top_category_A,subbranch_code_A02.633,40,node_1,node_10,False
top_category_A,subbranch_code_A02.734,1,node_1,node_1,True
top_category_A,subbranch_code_A02.835,159,node_1,node_2,False
top_category_A,subbranch_code_A02.880,5,node_1,node_3,False
top_category_A,subbranch_code_A03,1,node_1,node_4,False
top_category_A,subbranch_code_A03.159,11,node_1,node_5,False
top_category_A,subbranch_code_A03.556,57,node_1,node_6,False
top_category_A,subbranch_code_A03.620,4,node_1,node_7,False
top_category_A,subbranch_code_A03.734,9,node_1,node_8,False
top_category_A,subbranch_code_A04,1,node_1,node_9,False
top_category_A,subbranch_code_A04.329,11,node_1,node_10,False
top_category_A,subbranch_code_A04.411,6,node_1,node_1,True
top_category_A,subbranch_code_A04.531,16,node_1,node_2,False
top_category_A,subbranch_code_A04.623,10,node_1,node_3,False
top_category_A,subbranch_code_A04.716,1,node_1,node_4,False
top_category_A,subbranch_code_A04.760,6,node_1,node_5,False
top_category_A,subbranch_code_A04.889,1,node_1,node_6,False
top_category_A,subbranch_code_A05,1,node_1,node_7,False
top_category_A,subbranch_code_A05.360,60,node_1,node_8,False
top_category_A,subbranch_code_A05.810,23,node_1,node_9,False
top_category_A,subbranch_code_A06,1,node_1,node_10,False
top_category_A,subbranch_code_A06.224,7,node_1,node_1,True
top_category_A,subbranch_code_A06.300,38,node_1,node_2,False
top_category_A,subbranch_code_A06.390,8,node_1,node_3,False
top_category_A,subbranch_code_A06.688,21,node_1,node_4,False
top_category_A,subbranch_code_A07,1,node_1,node_5,False
top_category_A,subbranch_code_A07.015,95,node_1,node_6,False
top_category_A,subbranch_code_A07.020,1,node_1,node_7,False
top_category_A,subbranch_code_A07.030,1,node_1,node_8,False
top_category_A,subbranch_code_A07.035,1,node_1,node_9,False
top_category_A,subbranch_code_A07.037,1,node_1,node_10,False
top_category_A,subbranch_code_A07.040,1,node_1,node_1,True
top_category_A,subbranch_code_A07.043,1,node_1,node_2,False
top_category_A,subbranch_code_A07.045,1,node_1,node_3,False
top_category_A,subbranch_code_A07.500,1,node_1,node_4,False
top_category_A,subbranch_code_A07.521,1,node_1,node_5,False
