metric,value
used_nodes,10
global_unique_items,31108
total_node_item_copies,107608
item_redundancy_factor,3.4591744888774594
total_fragment_memberships,131780
min_items_per_node,7177
max_items_per_node,18062
avg_items_per_node,10760.8
item_load_imbalance,10885
total_overlap_pairs,11940
same_node_overlap_pairs,1195
different_node_overlap_pairs,10745
same_node_overlap_ratio,0.10008375209380234
weighted_total_overlap,208731
weighted_same_node_overlap,23302
weighted_same_node_overlap_ratio,0.11163650823308469
minimum_fragment_memberships_per_node,8498
maximum_fragment_memberships_per_node,21290
average_fragment_memberships,13178.0
fragment_membership_load_difference,12792
items_count_below_replication,6262
items_count_equal_replication,13604
items_count_above_replication,11242
minimum_item_replication,1
maximum_item_replication,10
average_item_replication,3.4591744888774594
maximum_replication_deficit,2
total_replication_deficit,6415
all_items_meet_replication,False
