descriptor_ui,replication_count,nodes
D000001,5,"node_1,node_2,node_3,node_5,node_7"
D000002,4,"node_1,node_5,node_7,node_8"
D000003,2,"node_3,node_8"
D000004,2,"node_10,node_5"
D000005,2,"node_10,node_2"
D000006,2,"node_5,node_8"
D000007,2,"node_2,node_8"
D000008,2,"node_1,node_8"
D000009,2,"node_10,node_2"
D000010,2,"node_2,node_5"
D000011,2,"node_1,node_4"
D000012,3,"node_1,node_2,node_8"
D000013,3,"node_2,node_3,node_8"
D000014,3,"node_2,node_3,node_8"
D000015,3,"node_2,node_3,node_8"
D000016,4,"node_1,node_2,node_3,node_8"
D000017,2,"node_1,node_7"
D000018,2,"node_10,node_2"
D000019,3,"node_3,node_5,node_7"
D000020,3,"node_3,node_5,node_7"
D000021,3,"node_3,node_5,node_7"
D000022,3,"node_10,node_3,node_8"
D000023,2,"node_4,node_5"
D000024,2,"node_4,node_7"
D000025,3,"node_10,node_5,node_7"
D000026,2,"node_10,node_8"
D000027,2,"node_10,node_8"
D000028,3,"node_10,node_5,node_7"
D000029,3,"node_10,node_5,node_7"
D000030,2,"node_10,node_8"
D000031,3,"node_10,node_2,node_8"
D000032,3,"node_10,node_5,node_7"
D000033,2,"node_10,node_8"
D000034,2,"node_10,node_8"
D000035,2,"node_2,node_4"
D000036,4,"node_1,node_2,node_4,node_7"
D000037,2,"node_10,node_8"
D000038,2,"node_10,node_8"
D000039,4,"node_10,node_3,node_7,node_8"
D000040,4,"node_1,node_10,node_7,node_8"
D000041,2,"node_2,node_4"
D000042,2,"node_3,node_8"
D000043,2,"node_10,node_5"
D000044,2,"node_1,node_5"
D000045,2,"node_1,node_3"
D000046,2,"node_3,node_4"
D000047,2,"node_3,node_4"
D000048,2,"node_1,node_3"
D000049,2,"node_1,node_3"
D000050,2,"node_2,node_8"
D000051,3,"node_10,node_2,node_8"
D000052,2,"node_2,node_8"
D000053,2,"node_1,node_3"
D000054,2,"node_3,node_8"
D000055,2,"node_2,node_5"
D000056,2,"node_2,node_3"
D000057,2,"node_2,node_4"
D000058,2,"node_2,node_3"
D000059,2,"node_2,node_3"
D000060,2,"node_2,node_3"
D000061,2,"node_2,node_3"
D000062,2,"node_2,node_3"
D000063,2,"node_2,node_3"
D000064,2,"node_10,node_3"
D000065,2,"node_2,node_3"
D000066,3,"node_10,node_3,node_4"
D000067,3,"node_10,node_3,node_4"
D000068,3,"node_10,node_3,node_4"
D000069,4,"node_1,node_3,node_4,node_7"
D000070,3,"node_1,node_5,node_7"
D000072,3,"node_1,node_5,node_7"
D000073,5,"node_1,node_3,node_5,node_7,node_8"
D000074,3,"node_2,node_5,node_7"
D000075,3,"node_1,node_5,node_7"
D000076,2,"node_1,node_3"
D000077,2,"node_2,node_4"
D000079,3,"node_1,node_2,node_7"
D000080,2,"node_1,node_7"
D000081,4,"node_1,node_10,node_5,node_7"
D000082,3,"node_1,node_5,node_7"
D000083,3,"node_1,node_5,node_7"
D000084,3,"node_1,node_4,node_7"
D000085,5,"node_1,node_10,node_3,node_5,node_7"
D000086,4,"node_1,node_2,node_5,node_7"
D000089,3,"node_1,node_10,node_7"
D000090,4,"node_1,node_10,node_7,node_8"
D000091,4,"node_1,node_10,node_2,node_3"
D000092,4,"node_1,node_5,node_7,node_8"
D000093,3,"node_1,node_7,node_8"
D000094,3,"node_1,node_4,node_7"
D000095,4,"node_1,node_2,node_4,node_7"
D000096,3,"node_1,node_7,node_8"
D000097,3,"node_1,node_4,node_7"
D000098,3,"node_1,node_7,node_8"
D000099,6,"node_1,node_10,node_3,node_5,node_7,node_8"
