metric,value
used_nodes,8
global_unique_items,300
total_node_item_copies,820
item_redundancy_factor,2.7333333333333334
total_fragment_memberships,1192
min_items_per_node,69
max_items_per_node,140
avg_items_per_node,102.5
item_load_imbalance,71
total_overlap_pairs,813
same_node_overlap_pairs,273
different_node_overlap_pairs,540
same_node_overlap_ratio,0.33579335793357934
weighted_total_overlap,1762
weighted_same_node_overlap,457
weighted_same_node_overlap_ratio,0.2593643586833144
minimum_fragment_memberships_per_node,147
maximum_fragment_memberships_per_node,150
average_fragment_memberships,149.0
fragment_membership_load_difference,3
items_count_below_replication,0
items_count_equal_replication,136
items_count_above_replication,164
minimum_item_replication,2
maximum_item_replication,6
average_item_replication,2.7333333333333334
maximum_replication_deficit,0
total_replication_deficit,0
all_items_meet_replication,True
