fragment_i,fragment_j,affinity
decade_1890s,title_type_short,1
primary_genre_Animation,title_type_tvEpisode,1
primary_genre_Action,title_type_tvShort,1
primary_genre_Action,title_type_video,1
decade_1950s,primary_genre_Documentary,1
decade_2010s,title_type_movie,1
decade_1910s,title_type_tvMovie,1
decade_1900s,primary_genre_Game-Show,1
primary_genre_Music,title_type_movie,1
decade_1970s,primary_genre_Family,1
primary_genre_Adventure,title_type_tvMiniSeries,1
primary_genre_Western,title_type_tvMovie,1
decade_1960s,title_type_tvMovie,1
decade_1920s,title_type_tvSeries,1
primary_genre_Talk-Show,title_type_tvEpisode,1
primary_genre_Sci-Fi,title_type_tvShort,1
primary_genre_Thriller,title_type_tvSeries,1
decade_2010s,primary_genre_Fantasy,1
decade_UNKNOWN,primary_genre_Reality-TV,1
decade_1950s,title_type_tvSpecial,1
