placement_type,operation,runtime_seconds,operation_nodes,contacted_nodes,available_nodes,fragment_count,stretch,jump
round_robin,SELECT,0.025512300000173127,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.04572710000002189,3,"node_1,node_5,node_9",,,3.0,3
round_robin,SELECT,0.025578799999948387,1,node_1,3.0,3.0,1.0,1
round_robin,UPDATE,0.029284899999765912,3,"node_1,node_5,node_9",,,3.0,3
round_robin,DELETE,0.054455699999834906,3,"node_1,node_5,node_9",,,3.0,3
round_robin,SELECT,0.023672199999964505,1,node_3,2.0,3.0,1.0,1
round_robin,INSERT,0.04133219999994253,3,"node_2,node_6,node_9",,,2.6666666666666665,3
round_robin,SELECT,0.024547399999846675,1,node_2,3.0,3.0,1.0,1
round_robin,UPDATE,0.028467100000398204,3,"node_2,node_6,node_9",,,2.6666666666666665,3
round_robin,DELETE,0.05602120000003197,3,"node_2,node_6,node_9",,,2.6666666666666665,3
round_robin,SELECT,0.031320900000082474,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.0399424999995972,3,"node_1,node_6,node_10",,,3.3333333333333335,3
round_robin,SELECT,0.023204600000099163,1,node_1,3.0,3.0,1.0,1
round_robin,UPDATE,0.02644959999997809,3,"node_1,node_6,node_10",,,3.3333333333333335,3
round_robin,DELETE,0.054804999999760184,3,"node_1,node_6,node_10",,,3.3333333333333335,3
round_robin,SELECT,0.025314200000138953,1,node_3,3.0,3.0,1.0,1
round_robin,INSERT,0.04839510000010705,3,"node_2,node_6,node_10",,,3.0,3
round_robin,SELECT,0.025225700000191864,1,node_10,3.0,3.0,1.0,1
round_robin,UPDATE,0.0354074000001674,3,"node_2,node_6,node_10",,,3.0,3
round_robin,DELETE,0.05272450000029494,3,"node_2,node_6,node_10",,,3.0,3
round_robin,SELECT,0.022298500000033528,1,node_1,2.0,3.0,1.0,1
round_robin,INSERT,0.04499020000002929,3,"node_2,node_3,node_7",,,2.0,2
round_robin,SELECT,0.021889000000101078,1,node_2,3.0,3.0,1.0,1
round_robin,UPDATE,0.028204700000060257,3,"node_2,node_3,node_7",,,2.0,2
