placement_type,operation,operation_count,total_runtime_seconds,average_runtime_seconds,minimum_runtime_seconds,maximum_runtime_seconds,median_runtime_seconds,average_operation_nodes,average_available_nodes,average_amount_of_fragment_ids,average_stretch,median_stretch,min_stretch,max_stretch,average_jump,median_jump,min_jump,max_jump
conflict_locality_ilp,DELETE,20,1.222260400000323,0.06111302000001615,0.055838699999981145,0.10885380000001987,0.05858629999994491,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
conflict_locality_ilp,INSERT,20,0.5533343999996987,0.027666719999984934,0.025860500000021602,0.03165269999999509,0.027371049999999286,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
conflict_locality_ilp,SELECT,40,0.9313989999998284,0.02328497499999571,0.01999749999993128,0.03618419999997968,0.02199510000002647,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
conflict_locality_ilp,UPDATE,20,0.4643581999998787,0.023217909999993937,0.02234669999995731,0.027074399999946763,0.02289470000005167,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
round_robin,DELETE,20,1.0749202000006335,0.05374601000003167,0.044147999999950116,0.06413179999981367,0.053837050000083764,2.85,,,2.283333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.35,2.0,2,3
round_robin,INSERT,20,0.8709505000010722,0.043547525000053613,0.03341989999989892,0.05063190000009854,0.04355575000022327,2.85,,,2.283333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.35,2.0,2,3
round_robin,SELECT,40,1.0206760999994913,0.025516902499987282,0.01870409999992262,0.04459129999986544,0.024849199999835037,1.0,2.85,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
round_robin,UPDATE,20,0.5731007000003956,0.028655035000019778,0.020607099999779166,0.042457999999896856,0.028065100000048915,2.85,,,2.283333333333333,2.3333333333333335,1.3333333333333333,3.3333333333333335,2.35,2.0,2,3
tuple_ilp,DELETE,20,1.1377953000192065,0.056889765000960324,0.055485199991380796,0.06023629999253899,0.05660879999049939,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
tuple_ilp,INSERT,20,0.5296995000971947,0.026484975004859735,0.025065399997401983,0.02972229997976683,0.026304849990992807,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
tuple_ilp,SELECT,40,0.9084734999923967,0.022711837499809918,0.02011859999038279,0.0347343000175897,0.021147349994862452,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
tuple_ilp,UPDATE,20,0.4559184999088757,0.022795924995443785,0.021262800000840798,0.025110499991569668,0.02272274999995716,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
