placement_type,operation,operation_count,total_runtime_seconds,average_runtime_seconds,minimum_runtime_seconds,maximum_runtime_seconds,median_runtime_seconds,average_operation_nodes,average_available_nodes,average_amount_of_fragment_ids
conflict_locality_ilp,DELETE,20,0.6345314000500366,0.03172657000250183,0.030374900088645518,0.03527520003262907,0.03111144993454218,1.0,,
conflict_locality_ilp,INSERT,20,0.46626709995325655,0.02331335499766283,0.02012620004825294,0.02848400000948459,0.02284309995593503,1.0,,
conflict_locality_ilp,SELECT,40,0.8040733993984759,0.020101834984961896,0.01642339990939945,0.028650599997490644,0.01957500004209578,1.0,2.0,2.5
conflict_locality_ilp,UPDATE,20,0.3107287003658712,0.015536435018293559,0.013433200074359775,0.022403900045901537,0.01438350003445521,1.0,,
round_robin,DELETE,20,0.7637151001254097,0.038185755006270486,0.03645170002710074,0.04313220002222806,0.03777039999840781,2.0,,
round_robin,INSERT,20,0.6222537998110056,0.03111268999055028,0.02742289996240288,0.037233500042930245,0.029945900023449212,2.0,,
round_robin,SELECT,40,0.8471241998486221,0.02117810499621555,0.019365300075151026,0.027366399997845292,0.0206892000278458,1.0,2.5,2.5
round_robin,UPDATE,20,0.4055377998156473,0.020276889990782365,0.01940930006094277,0.023202399956062436,0.019970199966337532,2.0,,
tuple_ilp,DELETE,20,0.7478445000015199,0.037392225000075996,0.027731900103390217,0.10331279993988574,0.03577920002862811,1.6,,
tuple_ilp,INSERT,20,0.48524559987708926,0.02426227999385446,0.018166299909353256,0.032461300026625395,0.025366350077092648,1.6,,
tuple_ilp,SELECT,40,0.6890992005355656,0.01722748001338914,0.013740400085225701,0.026856499956920743,0.01635004999116063,1.0,2.0,2.5
tuple_ilp,UPDATE,20,0.3687038996722549,0.018435194983612745,0.012864199932664633,0.022630600025877357,0.0200601500691846,1.6,,
